id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
31118,Goñi,2020-11-01,4,61,0.93,326.60,6710.80,0.95
31119,Güesa/Gorza,2020-11-01,0,10,1.00,0.00,904.17,1.00
31120,Guesálaz,2020-11-01,7,128,0.95,440.77,13068.92,0.97
31121,Guirguillano/Girgillao,2020-11-01,0,25,1.00,0.00,2002.23,1.00
31122,Huarte/Uharte,2020-11-01,2,199,0.99,752.57,17286.82,0.96
31123,Uharte-Arakil,2020-11-01,0,62,1.00,0.00,5917.91,1.00
31124,Ibargoiti,2020-11-01,0,51,1.00,0.00,6271.77,1.00
31125,Igúzquiza,2020-11-01,10,50,0.80,749.94,5062.00,0.85
31126,Imotz,2020-11-01,2,56,0.96,111.12,6711.09,0.98
31127,Irañeta,2020-11-01,0,19,1.00,0.00,2696.88,1.00
31128,Isaba/Izaba,2020-11-01,0,29,1.00,0.00,3050.03,1.00
31129,Ituren,2020-11-01,5,43,0.88,127.06,4040.70,0.97
31130,Iturmendi,2020-11-01,2,48,0.96,899.57,4332.22,0.79
31131,Iza,2020-11-01,23,143,0.84,892.80,18459.85,0.95
31132,Izagaondoa,2020-11-01,0,41,1.00,0.00,4925.32,1.00
31133,Izalzu/Itzaltzu,2020-11-01,0,7,1.00,0.00,431.90,1.00
31134,Jaurrieta,2020-11-01,0,25,1.00,0.00,2357.71,1.00
31135,Javier,2020-11-01,0,16,1.00,0.00,1792.09,1.00
31136,Juslapeña,2020-11-01,6,71,0.92,164.86,7756.12,0.98
31137,Beintza-Labaien,2020-11-01,1,57,0.98,643.00,5082.42,0.87
31138,Lakuntza,2020-11-01,0,42,1.00,0.00,5816.26,1.00
31139,Lana,2020-11-01,3,61,0.95,110.35,5667.56,0.98
31140,Lantz,2020-11-01,2,18,0.89,64.37,1737.71,0.96
31141,Lapoblación,2020-11-01,2,37,0.95,123.91,4807.98,0.97
31142,Larraga,2020-11-01,10,137,0.93,456.06,13370.48,0.97
31143,Larraona,2020-11-01,0,22,1.00,0.00,2247.13,1.00
31144,Larraun,2020-11-01,7,156,0.96,203.15,15986.86,0.99
31145,Lazagurría,2020-11-01,0,17,1.00,0.00,3089.79,1.00
31146,Leatxe/Leache,2020-11-01,0,15,1.00,0.00,1640.67,1.00
31147,Legarda,2020-11-01,0,14,1.00,0.00,1480.25,1.00
31148,Legaria,2020-11-01,5,31,0.84,257.52,3324.44,0.92
31149,Leitza,2020-11-01,2,94,0.98,104.55,8760.53,0.99
31150,Leoz,2020-11-01,14,82,0.83,567.51,7833.59,0.93
31151,Lerga,2020-11-01,0,21,1.00,0.00,2059.59,1.00
31152,Lerín,2020-11-01,5,70,0.93,821.19,11450.67,0.93
31153,Lesaka,2020-11-01,1,63,0.98,21.41,6535.37,1.00
31154,Lezaun,2020-11-01,1,37,0.97,89.63,3959.41,0.98
31155,Liédena,2020-11-01,5,35,0.86,258.84,5096.07,0.95
31156,Lizoáin-Arriasgoiti,2020-11-01,1,76,0.99,73.04,7339.95,0.99
31157,Lodosa,2020-11-01,11,140,0.92,449.17,18325.85,0.98
31158,Lónguida/Longida,2020-11-01,3,61,0.95,249.93,6550.66,0.96
31159,Lumbier,2020-11-01,0,60,1.00,0.00,5943.95,1.00
31160,Luquin,2020-11-01,1,17,0.94,13.84,1913.57,0.99
31161,Mañeru,2020-11-01,3,36,0.92,125.61,3371.18,0.96
31162,Marañón,2020-11-01,6,21,0.71,242.46,3422.95,0.93
31163,Marcilla,2020-11-01,12,90,0.87,1174.84,11414.09,0.90
31164,Mélida,2020-11-01,21,67,0.69,2123.16,11901.54,0.82
31165,Mendavia,2020-11-01,15,121,0.88,1382.87,22853.99,0.94
31166,Mendaza,2020-11-01,0,45,1.00,0.00,5924.35,1.00
31167,Mendigorria,2020-11-01,2,34,0.94,127.22,6553.09,0.98
31168,Metauten,2020-11-01,2,61,0.97,62.70,5722.45,0.99
31169,Milagro,2020-11-01,6,107,0.94,1038.36,19084.99,0.95
31170,Mirafuentes,2020-11-01,0,10,1.00,0.00,940.49,1.00
