id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
14028,Fuente la Lancha,2020-11-01,2,25,0.92,4018.56,864.07,0.78
14029,Fuente Obejuna,2020-11-01,145,290,0.50,41461.28,15176.08,0.63
14030,Fuente Palmera,2020-11-01,162,346,0.53,52280.33,21584.91,0.59
14031,Fuente-Tójar,2020-11-01,0,30,1.00,3056.97,0.00,1.00
14032,La Granjuela,2020-11-01,7,33,0.79,4132.83,513.16,0.88
14033,Guadalcázar,2020-11-01,6,69,0.91,7953.01,116.71,0.99
14034,El Guijo,2020-11-01,3,21,0.86,3123.98,274.99,0.91
14035,Hinojosa del Duque,2020-11-01,17,159,0.89,32753.78,4186.83,0.87
14036,Hornachuelos,2020-11-01,44,262,0.83,36798.08,6631.62,0.82
14037,Iznájar,2020-11-01,28,133,0.79,15337.75,3469.12,0.77
14038,Lucena,2020-11-01,156,777,0.80,145453.85,37200.75,0.74
14039,Luque,2020-11-01,21,79,0.73,13066.00,3606.72,0.72
14040,Montalbán de Córdoba,2020-11-01,26,109,0.76,15051.04,1666.61,0.89
14041,Montemayor,2020-11-01,21,114,0.82,19168.87,3955.58,0.79
14042,Montilla,2020-11-01,77,375,0.79,56792.45,8842.12,0.84
14043,Montoro,2020-11-01,45,228,0.80,32248.15,7457.28,0.77
14044,Monturque,2020-11-01,3,47,0.94,7393.85,616.74,0.92
14045,Moriles,2020-11-01,5,72,0.93,13100.14,691.55,0.95
14046,Nueva Carteya,2020-11-01,22,121,0.82,18985.26,3279.41,0.83
14047,Obejo,2020-11-01,19,79,0.76,9976.50,896.37,0.91
14048,Palenciana,2020-11-01,2,49,0.96,6990.44,604.99,0.91
14049,Palma del Río,2020-11-01,46,444,0.90,61686.98,6509.66,0.89
14050,Pedro Abad,2020-11-01,7,101,0.93,14590.43,790.92,0.95
14051,Pedroche,2020-11-01,9,87,0.90,13657.83,1554.77,0.89
14052,Peñarroya-Pueblonuevo,2020-11-01,141,339,0.58,58466.75,16950.99,0.71
14053,Posadas,2020-11-01,40,236,0.83,32025.28,8228.43,0.74
14054,Pozoblanco,2020-11-01,52,318,0.84,53652.49,8551.20,0.84
14055,Priego de Córdoba,2020-11-01,138,652,0.79,74630.25,14191.10,0.81
14056,Puente Genil,2020-11-01,133,436,0.69,82320.32,28352.26,0.66
14057,La Rambla,2020-11-01,23,175,0.87,27530.73,1806.31,0.93
14058,Rute,2020-11-01,95,139,0.32,23216.51,13520.22,0.42
14059,San Sebastián de los Ballesteros,2020-11-01,3,47,0.94,6022.17,429.73,0.93
14060,Santaella,2020-11-01,35,188,0.81,27836.04,4396.20,0.84
14061,Santa Eufemia,2020-11-01,4,43,0.91,6926.95,402.07,0.94
14062,Torrecampo,2020-11-01,10,68,0.85,10332.13,1713.75,0.83
14063,Valenzuela,2020-11-01,4,49,0.92,6457.06,332.73,0.95
14064,Valsequillo,2020-11-01,3,32,0.91,4605.26,176.07,0.96
14065,La Victoria,2020-11-01,13,103,0.87,14508.89,1186.50,0.92
