id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
06122,Los Santos de Maimona,2020-11-01,49,297,0.84,43430.17,6630.95,0.85
06123,San Vicente de Alcántara,2020-11-01,90,147,0.39,23011.82,14084.41,0.39
06124,Segura de León,2020-11-01,14,118,0.88,15252.95,1156.06,0.92
06125,Siruela,2020-11-01,16,149,0.89,19328.17,797.63,0.96
06126,Solana de los Barros,2020-11-01,40,125,0.68,19690.94,6141.05,0.69
06127,Talarrubias,2020-11-01,55,198,0.72,33458.83,4234.61,0.87
06128,Talavera la Real,2020-11-01,33,155,0.79,24798.87,4972.93,0.80
06129,Táliga,2020-11-01,6,41,0.85,4652.83,223.62,0.95
06130,Tamurejo,2020-11-01,13,22,0.41,2814.72,1549.35,0.45
06131,Torre de Miguel Sesmero,2020-11-01,7,60,0.88,8262.07,883.72,0.89
06132,Torremayor,2020-11-01,8,36,0.78,5809.62,786.36,0.86
06133,Torremejía,2020-11-01,8,68,0.88,15036.17,1352.87,0.91
06134,Trasierra,2020-11-01,10,27,0.63,3392.45,1010.40,0.70
06135,Trujillanos,2020-11-01,6,70,0.91,10119.14,315.60,0.97
06136,Usagre,2020-11-01,12,75,0.84,12038.12,859.22,0.93
06137,Valdecaballeros,2020-11-01,74,156,0.53,17775.92,4943.67,0.72
06138,Valdetorres,2020-11-01,7,62,0.89,7535.71,526.89,0.93
06139,Valencia de las Torres,2020-11-01,17,50,0.66,5822.58,1784.29,0.69
06140,Valencia del Mombuey,2020-11-01,5,30,0.83,4310.66,513.12,0.88
06141,Valencia del Ventoso,2020-11-01,8,86,0.91,12465.71,789.85,0.94
06142,Valverde de Burguillos,2020-11-01,6,21,0.71,2204.53,228.92,0.90
06143,Valverde de Leganés,2020-11-01,37,184,0.80,23326.53,2780.04,0.88
06144,Valverde de Llerena,2020-11-01,18,38,0.53,6248.13,2992.54,0.52
06145,Valverde de Mérida,2020-11-01,8,53,0.85,8439.41,2270.66,0.73
06146,Valle de la Serena,2020-11-01,8,70,0.89,10958.65,448.28,0.96
06147,Valle de Matamoros,2020-11-01,16,44,0.64,4908.65,1407.84,0.71
06148,Valle de Santa Ana,2020-11-01,6,57,0.89,6722.29,403.87,0.94
06149,Villafranca de los Barros,2020-11-01,23,279,0.92,53953.83,2828.29,0.95
06150,Villagarcía de la Torre,2020-11-01,27,59,0.54,11082.15,4889.71,0.56
06151,Villagonzalo,2020-11-01,23,80,0.71,13437.04,4052.44,0.70
06152,Villalba de los Barros,2020-11-01,10,66,0.85,9658.26,602.76,0.94
06153,Villanueva de la Serena,2020-11-01,203,662,0.69,107772.02,27222.21,0.75
06154,Villanueva del Fresno,2020-11-01,9,65,0.86,13839.27,1336.43,0.90
06155,Villar del Rey,2020-11-01,41,72,0.43,10023.33,4707.86,0.53
06156,Villar de Rena,2020-11-01,51,100,0.49,17149.47,10087.68,0.41
06157,Villarta de los Montes,2020-11-01,8,44,0.82,4737.51,491.35,0.90
06158,Zafra,2020-11-01,270,470,0.43,68112.10,32583.01,0.52
06159,Zahínos,2020-11-01,20,89,0.78,21144.39,3139.72,0.85
06160,Zalamea de la Serena,2020-11-01,14,153,0.91,23068.14,1822.08,0.92
06161,Zarza-Capilla,2020-11-01,8,64,0.88,8156.21,496.36,0.94
06162,La Zarza,2020-11-01,24,158,0.85,21966.91,2394.39,0.89
06901,Valdelacalzada,2020-11-01,48,97,0.51,16816.52,8482.28,0.50
06902,Pueblonuevo del Guadiana,2020-11-01,20,58,0.66,12736.32,4423.33,0.65
06903,Guadiana,2020-11-01,33,147,0.78,21753.31,3207.16,0.85
10001,Abadía,2020-11-01,3,45,0.93,3864.28,309.28,0.92
10002,Abertura,2020-11-01,8,95,0.92,6722.58,745.48,0.89
10003,Acebo,2020-11-01,6,87,0.93,6627.66,306.54,0.95
10004,Acehúche,2020-11-01,11,79,0.86,9724.96,1171.21,0.88
10005,Aceituna,2020-11-01,7,60,0.88,4768.67,648.31,0.86
10006,Ahigal,2020-11-01,74,76,0.03,11257.42,11026.34,0.02
10007,Albalá,2020-11-01,6,104,0.94,12623.57,852.88,0.93
10008,Alcántara,2020-11-01,44,127,0.65,15170.87,4326.48,0.71
10009,Alcollarín,2020-11-01,7,76,0.91,6900.07,653.43,0.91
10010,Alcuéscar,2020-11-01,48,138,0.65,17359.57,3462.26,0.80
10011,Aldeacentenera,2020-11-01,48,96,0.50,12023.35,6127.74,0.49
10012,Aldea del Cano,2020-11-01,22,44,0.50,6378.23,2439.23,0.62
10013,La Aldea del Obispo,2020-11-01,6,48,0.88,5281.43,205.72,0.96
