id,ES-SO,ES-CL,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
42161,ES-SO,ES-CL,Salduero,2020-11-01,0,18,1.00,0.00,1293.05,1.00
42162,ES-SO,ES-CL,San Esteban de Gormaz,2020-11-01,17,413,0.96,1400.29,39887.70,0.96
42163,ES-SO,ES-CL,San Felices,2020-11-01,16,19,0.16,1675.00,1775.04,0.06
42164,ES-SO,ES-CL,San Leonardo de Yagüe,2020-11-01,0,153,1.00,0.00,14465.81,1.00
42165,ES-SO,ES-CL,San Pedro Manrique,2020-11-01,32,139,0.77,2345.20,10517.74,0.78
42166,ES-SO,ES-CL,Santa Cruz de Yanguas,2020-11-01,14,14,0.00,1259.73,1259.73,0.00
42167,ES-SO,ES-CL,Santa María de Huerta,2020-11-01,2,24,0.92,468.61,5071.96,0.91
42168,ES-SO,ES-CL,Santa María de las Hoyas,2020-11-01,0,70,1.00,0.00,3932.39,1.00
42171,ES-SO,ES-CL,Serón de Nágima,2020-11-01,11,41,0.73,1134.05,5365.71,0.79
42172,ES-SO,ES-CL,Soliedra,2020-11-01,8,8,0.00,1042.82,1042.82,0.00
42173,ES-SO,ES-CL,Soria,2020-11-01,54,860,0.94,7391.54,110755.73,0.93
42174,ES-SO,ES-CL,Sotillo del Rincón,2020-11-01,34,50,0.32,2963.73,4811.55,0.38
42175,ES-SO,ES-CL,Suellacabras,2020-11-01,22,23,0.04,2156.45,2379.26,0.09
42176,ES-SO,ES-CL,Tajahuerce,2020-11-01,8,8,0.00,1232.16,1232.16,0.00
42177,ES-SO,ES-CL,Tajueco,2020-11-01,15,15,0.00,1613.97,1613.97,0.00
42178,ES-SO,ES-CL,Talveila,2020-11-01,1,56,0.98,29.20,3706.13,0.99
42181,ES-SO,ES-CL,Tardelcuende,2020-11-01,9,37,0.76,943.55,4071.22,0.77
42182,ES-SO,ES-CL,Taroda,2020-11-01,18,18,0.00,2533.48,2533.48,0.00
42183,ES-SO,ES-CL,Tejado,2020-11-01,38,61,0.38,3391.35,5384.58,0.37
42184,ES-SO,ES-CL,Torlengua,2020-11-01,11,11,0.00,1382.40,1382.40,0.00
42185,ES-SO,ES-CL,Torreblacos,2020-11-01,19,19,0.00,1519.63,1519.63,0.00
42187,ES-SO,ES-CL,Torrubia de Soria,2020-11-01,2,8,0.75,288.15,896.49,0.68
42188,ES-SO,ES-CL,Trévago,2020-11-01,13,13,0.00,1960.91,1960.91,0.00
42189,ES-SO,ES-CL,Ucero,2020-11-01,0,23,1.00,0.00,2361.53,1.00
42190,ES-SO,ES-CL,Vadillo,2020-11-01,0,25,1.00,0.00,1919.52,1.00
42191,ES-SO,ES-CL,Valdeavellano de Tera,2020-11-01,18,30,0.40,2356.02,4006.93,0.41
42192,ES-SO,ES-CL,Valdegeña,2020-11-01,13,14,0.07,1022.65,1085.04,0.06
42193,ES-SO,ES-CL,Valdelagua del Cerro,2020-11-01,3,3,0.00,566.23,566.23,0.00
42194,ES-SO,ES-CL,Valdemaluque,2020-11-01,49,97,0.49,4225.35,6938.91,0.39
42195,ES-SO,ES-CL,Valdenebro,2020-11-01,37,40,0.08,3486.05,3585.25,0.03
42196,ES-SO,ES-CL,Valdeprado,2020-11-01,5,5,0.00,654.73,654.73,0.00
42197,ES-SO,ES-CL,Valderrodilla,2020-11-01,6,18,0.67,688.02,2143.49,0.68
42198,ES-SO,ES-CL,Valtajeros,2020-11-01,10,11,0.09,1051.10,1084.34,0.03
42200,ES-SO,ES-CL,Velamazán,2020-11-01,15,37,0.59,1177.19,4285.08,0.73
42201,ES-SO,ES-CL,Velilla de la Sierra,2020-11-01,2,3,0.33,288.33,598.23,0.52
42202,ES-SO,ES-CL,Velilla de los Ajos,2020-11-01,5,5,0.00,640.75,640.75,0.00
42204,ES-SO,ES-CL,Viana de Duero,2020-11-01,15,15,0.00,2143.15,2143.15,0.00
42205,ES-SO,ES-CL,Villaciervos,2020-11-01,33,33,0.00,2928.78,2928.78,0.00
42206,ES-SO,ES-CL,Villanueva de Gormaz,2020-11-01,11,12,0.08,1343.16,1452.47,0.08
42207,ES-SO,ES-CL,Villar del Ala,2020-11-01,10,10,0.00,1828.92,1828.92,0.00
42208,ES-SO,ES-CL,Villar del Campo,2020-11-01,0,10,1.00,0.00,822.94,1.00
42209,ES-SO,ES-CL,Villar del Río,2020-11-01,55,63,0.13,5081.87,5650.36,0.10
42211,ES-SO,ES-CL,Los Villares de Soria,2020-11-01,0,34,1.00,0.00,2783.25,1.00
42212,ES-SO,ES-CL,Villasayas,2020-11-01,22,26,0.15,1916.61,2522.72,0.24
42213,ES-SO,ES-CL,Villaseca de Arciel,2020-11-01,3,3,0.00,615.42,615.42,0.00
42215,ES-SO,ES-CL,Vinuesa,2020-11-01,34,112,0.70,2907.99,10443.60,0.72
42216,ES-SO,ES-CL,Vizmanos,2020-11-01,4,9,0.56,464.08,699.21,0.34
42217,ES-SO,ES-CL,Vozmediano,2020-11-01,5,7,0.29,1703.34,1997.31,0.15
42218,ES-SO,ES-CL,Yanguas,2020-11-01,11,30,0.63,1042.84,2970.06,0.65
42219,ES-SO,ES-CL,Yelo,2020-11-01,26,26,0.00,2029.11,2029.11,0.00
