id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
08143,Òdena,2020-11-01,1,127,0.99,21405.10,31.90,1.00
08144,Olvan,2020-11-01,0,53,1.00,4919.06,0.00,1.00
08145,Olèrdola,2020-11-01,2,164,0.99,33700.68,116.82,1.00
08146,Olesa de Bonesvalls,2020-11-01,1,112,0.99,26165.58,103.56,1.00
08147,Olesa de Montserrat,2020-11-01,25,273,0.91,52687.14,2193.56,0.96
08148,Olivella,2020-11-01,0,180,1.00,70633.76,0.00,1.00
08149,Olost,2020-11-01,4,73,0.95,9511.11,306.27,0.97
08150,Orís,2020-11-01,1,10,0.90,1157.53,70.42,0.94
08151,Oristà,2020-11-01,0,40,1.00,5299.44,0.00,1.00
08152,Orpí,2020-11-01,4,19,0.79,1505.36,155.98,0.90
08153,Òrrius,2020-11-01,7,45,0.84,5969.97,498.84,0.92
08154,Pacs del Penedès,2020-11-01,1,31,0.97,4765.07,44.62,0.99
08155,Palafolls,2020-11-01,2,174,0.99,38682.30,218.54,0.99
08156,Palau-solità i Plegamans,2020-11-01,14,421,0.97,91483.03,926.67,0.99
08157,Pallejà,2020-11-01,37,266,0.86,38588.35,1249.95,0.97
08158,el Papiol,2020-11-01,1,117,0.99,15615.83,39.52,1.00
08159,Parets del Vallès,2020-11-01,26,280,0.91,57880.79,1799.07,0.97
08160,Perafita,2020-11-01,0,39,1.00,4365.25,0.00,1.00
08161,Piera,2020-11-01,6,593,0.99,134544.93,428.67,1.00
08162,els Hostalets de Pierola,2020-11-01,5,108,0.95,30695.56,428.92,0.99
08163,Pineda de Mar,2020-11-01,29,563,0.95,82339.58,878.36,0.99
08164,el Pla del Penedès,2020-11-01,0,47,1.00,4573.60,0.00,1.00
08165,la Pobla de Claramunt,2020-11-01,0,136,1.00,21028.69,0.00,1.00
08166,la Pobla de Lillet,2020-11-01,7,92,0.92,7134.76,255.69,0.96
08167,Polinyà,2020-11-01,18,117,0.85,27487.44,1957.34,0.93
08168,Pontons,2020-11-01,0,52,1.00,6911.03,0.00,1.00
08169,el Prat de Llobregat,2020-11-01,7,470,0.99,71240.73,245.41,1.00
08170,els Prats de Rei,2020-11-01,0,40,1.00,3443.90,0.00,1.00
08171,Prats de Lluçanès,2020-11-01,8,84,0.90,11596.59,545.98,0.95
08172,Premià de Mar,2020-11-01,9,226,0.96,32815.30,1100.98,0.97
08174,Puigdàlber,2020-11-01,2,26,0.92,4093.17,213.76,0.95
08175,Puig-reig,2020-11-01,19,161,0.88,19120.92,753.03,0.96
08176,Pujalt,2020-11-01,3,52,0.94,3251.49,221.96,0.93
08177,la Quar,2020-11-01,0,1,1.00,21.65,0.00,1.00
08178,Rajadell,2020-11-01,3,31,0.90,5006.96,151.54,0.97
08179,Rellinars,2020-11-01,5,90,0.94,17486.43,128.42,0.99
08180,Ripollet,2020-11-01,35,332,0.89,45919.47,2256.08,0.95
08181,la Roca del Vallès,2020-11-01,19,287,0.93,52659.01,1671.82,0.97
08182,el Pont de Vilomara i Rocafort,2020-11-01,3,135,0.98,33263.20,83.05,1.00
08183,Roda de Ter,2020-11-01,7,163,0.96,20970.67,160.25,0.99
08184,Rubí,2020-11-01,44,1751,0.97,252111.07,1272.41,0.99
08185,Rubió,2020-11-01,3,5,0.40,510.27,162.43,0.68
08187,Sabadell,2020-11-01,115,2055,0.94,303553.07,5641.12,0.98
08188,Sagàs,2020-11-01,0,1,1.00,237.02,0.00,1.00
