id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
32003,A Arnoia,2021-01-01,95,95,0.00,14438.45,14438.45,0.00
32004,Avión,2021-01-01,209,209,0.00,33575.13,33575.13,0.00
32005,Baltar,2021-01-01,134,136,0.01,19150.14,17026.48,0.11
32006,Bande,2021-01-01,279,289,0.03,30269.16,28907.44,0.04
32007,Baños de Molgas,2021-01-01,221,256,0.14,28844.20,23226.68,0.19
32008,Barbadás,2021-01-01,166,319,0.48,53749.06,26352.90,0.51
32009,O Barco de Valdeorras,2021-01-01,20,455,0.96,61515.45,2053.38,0.97
32010,Beade,2021-01-01,17,30,0.43,5691.81,3071.97,0.46
32011,Beariz,2021-01-01,80,90,0.11,12468.57,10442.30,0.16
32012,Os Blancos,2021-01-01,119,119,0.00,15527.04,15527.04,0.00
32013,Boborás,2021-01-01,287,290,0.01,39554.92,39157.31,0.01
32014,A Bola,2021-01-01,147,149,0.01,16844.61,16728.92,0.01
32015,O Bolo,2021-01-01,42,263,0.84,38510.31,5512.98,0.86
32016,Calvos de Randín,2021-01-01,175,176,0.01,23129.10,23083.87,0.00
32017,Carballeda de Valdeorras,2021-01-01,31,189,0.84,26126.61,3450.40,0.87
32018,Carballeda de Avia,2021-01-01,160,163,0.02,22526.95,22196.72,0.01
32019,O Carballiño,2021-01-01,412,492,0.16,74296.59,60169.38,0.19
32020,Cartelle,2021-01-01,319,341,0.06,49480.97,46352.11,0.06
32021,Castrelo do Val,2021-01-01,219,232,0.06,24196.95,21528.25,0.11
32022,Castrelo de Miño,2021-01-01,149,158,0.06,29963.54,28455.46,0.05
32023,Castro Caldelas,2021-01-01,17,358,0.95,30854.44,795.67,0.97
32024,Celanova,2021-01-01,350,409,0.14,50277.53,41941.01,0.17
32025,Cenlle,2021-01-01,133,142,0.06,21318.12,20521.41,0.04
32026,Coles,2021-01-01,188,190,0.01,36425.34,36181.34,0.01
32027,Cortegada,2021-01-01,143,158,0.09,23078.35,20062.43,0.13
32028,Cualedro,2021-01-01,191,232,0.18,27041.41,21346.57,0.21
32029,Chandrexa de Queixa,2021-01-01,67,103,0.35,11211.47,6052.98,0.46
32030,Entrimo,2021-01-01,116,118,0.02,19780.78,19695.59,0.00
32031,Esgos,2021-01-01,181,181,0.00,16471.31,16471.31,0.00
32032,Xinzo de Limia,2021-01-01,388,412,0.06,71817.83,66128.49,0.08
32033,Gomesende,2021-01-01,140,140,0.00,18207.22,18207.22,0.00
32034,A Gudiña,2021-01-01,120,168,0.29,21125.53,13139.43,0.38
32035,O Irixo,2021-01-01,247,247,0.00,32371.03,32371.03,0.00
32036,Xunqueira de Ambía,2021-01-01,131,162,0.19,19559.04,17754.21,0.09
32037,Xunqueira de Espadanedo,2021-01-01,106,106,0.00,14789.71,14789.71,0.00
32038,Larouco,2021-01-01,0,80,1.00,8981.54,0.00,1.00
32039,Laza,2021-01-01,175,229,0.24,32984.51,27690.59,0.16
32040,Leiro,2021-01-01,142,143,0.01,23715.98,23427.07,0.01
32041,Lobeira,2021-01-01,127,131,0.03,19709.08,18963.76,0.04
32042,Lobios,2021-01-01,218,218,0.00,30639.33,30639.33,0.00
32043,Maceda,2021-01-01,282,361,0.22,34178.79,24677.27,0.28
32044,Manzaneda,2021-01-01,18,264,0.93,21627.02,815.75,0.96
32045,Maside,2021-01-01,263,271,0.03,35440.17,34460.58,0.03
32046,Melón,2021-01-01,140,149,0.06,22182.43,19722.78,0.11
32047,A Merca,2021-01-01,273,298,0.08,35139.58,32952.75,0.06
32048,A Mezquita,2021-01-01,102,134,0.24,16390.82,12171.20,0.26
32049,Montederramo,2021-01-01,85,275,0.69,20365.47,5433.12,0.73
32050,Monterrei,2021-01-01,221,241,0.08,33581.71,30624.62,0.09
32051,Muíños,2021-01-01,235,241,0.02,27482.15,25984.11,0.05
32052,Nogueira de Ramuín,2021-01-01,373,396,0.06,35035.07,33665.76,0.04
32053,Oímbra,2021-01-01,153,154,0.01,19147.21,19061.49,0.00
32054,Ourense,2021-01-01,964,1800,0.46,260303.61,139598.54,0.46
32055,Paderne de Allariz,2021-01-01,175,196,0.11,23661.74,20681.01,0.13
32056,Padrenda,2021-01-01,229,236,0.03,28286.24,27396.70,0.03
32057,Parada de Sil,2021-01-01,16,213,0.92,16560.21,601.60,0.96
32058,O Pereiro de Aguiar,2021-01-01,471,485,0.03,50755.15,48719.55,0.04
32059,A Peroxa,2021-01-01,237,237,0.00,33889.31,33889.31,0.00
32060,Petín,2021-01-01,2,96,0.98,13438.68,86.28,0.99
32061,Piñor,2021-01-01,185,185,0.00,17496.43,17496.43,0.00
32062,Porqueira,2021-01-01,151,157,0.04,19767.64,18358.66,0.07
32063,A Pobra de Trives,2021-01-01,9,315,0.97,33958.18,607.87,0.98
32064,Pontedeva,2021-01-01,48,48,0.00,6752.15,6752.15,0.00
32065,Punxín,2021-01-01,81,81,0.00,16091.80,16091.80,0.00
32066,Quintela de Leirado,2021-01-01,81,94,0.14,10956.73,9434.56,0.14
32067,Rairiz de Veiga,2021-01-01,177,177,0.00,22696.16,22696.16,0.00
32068,Ramirás,2021-01-01,218,218,0.00,31887.74,31887.74,0.00
32069,Ribadavia,2021-01-01,151,195,0.23,27478.85,22987.51,0.16
32070,San Xoán de Río,2021-01-01,0,201,1.00,16854.54,0.00,1.00
32071,Riós,2021-01-01,402,402,0.00,35052.12,35052.12,0.00
32072,A Rúa,2021-01-01,0,212,1.00,30136.22,0.00,1.00
32073,Rubiá,2021-01-01,21,179,0.88,24152.87,3860.08,0.84
32074,San Amaro,2021-01-01,127,132,0.04,12341.17,11880.10,0.04
32075,San Cibrao das Viñas,2021-01-01,211,247,0.15,36926.83,31300.10,0.15
32076,San Cristovo de Cea,2021-01-01,380,384,0.01,41794.16,41417.69,0.01
32077,Sandiás,2021-01-01,117,132,0.11,15674.51,13587.28,0.13
32078,Sarreaus,2021-01-01,127,127,0.00,20519.20,20519.20,0.00
32079,Taboadela,2021-01-01,9,73,0.88,10095.18,1679.44,0.83
32080,A Teixeira,2021-01-01,1,63,0.98,8430.96,37.83,1.00
32081,Toén,2021-01-01,189,189,0.00,34579.26,34579.26,0.00
32082,Trasmiras,2021-01-01,141,147,0.04,21395.77,20135.89,0.06
32083,A Veiga,2021-01-01,54,266,0.80,43192.81,6688.96,0.85
32084,Verea,2021-01-01,183,183,0.00,27194.53,27194.53,0.00
32085,Verín,2021-01-01,320,430,0.26,71838.94,47955.18,0.33
32086,Viana do Bolo,2021-01-01,48,494,0.90,62697.83,5701.29,0.91
32087,Vilamarín,2021-01-01,123,124,0.01,25014.85,24694.82,0.01
32088,Vilamartín de Valdeorras,2021-01-01,17,157,0.89,19399.03,1716.09,0.91
32089,Vilar de Barrio,2021-01-01,133,185,0.28,22759.26,15766.87,0.31
32090,Vilar de Santos,2021-01-01,90,93,0.03,14274.09,13350.38,0.06
32091,Vilardevós,2021-01-01,268,297,0.10,37644.76,34094.75,0.09
32092,Vilariño de Conso,2021-01-01,0,127,1.00,15983.04,0.00,1.00
36001,Arbo,2021-01-01,372,406,0.08,66395.04,57709.11,0.13
36002,Barro,2021-01-01,101,102,0.01,29774.11,29670.26,0.00
36003,Baiona,2021-01-01,134,391,0.66,59916.12,19877.60,0.67
36004,Bueu,2021-01-01,230,290,0.21,68631.92,55112.87,0.20
36005,Caldas de Reis,2021-01-01,177,226,0.22,48745.05,41026.73,0.16
36006,Cambados,2021-01-01,268,401,0.33,81908.87,62736.03,0.23
36007,Campo Lameiro,2021-01-01,173,173,0.00,28348.70,28348.70,0.00
36008,Cangas,2021-01-01,329,595,0.45,114698.82,64117.57,0.44
36009,A Cañiza,2021-01-01,405,547,0.26,79698.41,51919.61,0.35
36010,Catoira,2021-01-01,88,88,0.00,20579.92,20579.92,0.00
36013,Covelo,2021-01-01,482,509,0.05,81684.18,76830.50,0.06
36014,Crecente,2021-01-01,232,341,0.32,61730.71,39406.18,0.36
36015,Cuntis,2021-01-01,81,92,0.12,25767.42,24768.64,0.04
36016,Dozón,2021-01-01,101,101,0.00,16403.45,16403.45,0.00
36017,A Estrada,2021-01-01,132,225,0.41,39003.31,20465.65,0.48
36018,Forcarei,2021-01-01,304,325,0.06,40060.00,37250.73,0.07
36019,Fornelos de Montes,2021-01-01,161,198,0.19,28717.92,22411.22,0.22
36020,Agolada,2021-01-01,320,336,0.05,39176.47,37782.80,0.04
36021,Gondomar,2021-01-01,311,336,0.07,60505.40,56558.32,0.07
36022,O Grove,2021-01-01,236,344,0.31,51954.67,34686.25,0.33
36023,A Guarda,2021-01-01,160,370,0.57,52901.95,19048.33,0.64
36024,Lalín,2021-01-01,661,833,0.21,120378.26,96888.89,0.20
36025,A Lama,2021-01-01,197,229,0.14,35662.79,28735.40,0.19
36026,Marín,2021-01-01,295,368,0.20,89566.50,79312.70,0.11
36027,Meaño,2021-01-01,150,150,0.00,37002.42,37002.42,0.00
36028,Meis,2021-01-01,245,251,0.02,58339.43,57528.09,0.01
36029,Moaña,2021-01-01,293,354,0.17,88444.91,76911.30,0.13
36030,Mondariz,2021-01-01,541,562,0.04,89766.14,85969.90,0.04
36031,Mondariz-Balneario,2021-01-01,26,34,0.24,6109.66,3986.80,0.35
36032,Moraña,2021-01-01,179,196,0.09,38007.41,35747.59,0.06
36033,Mos,2021-01-01,90,363,0.75,52243.04,7281.31,0.86
36034,As Neves,2021-01-01,406,444,0.09,78375.46,68882.21,0.12
36035,Nigrán,2021-01-01,197,303,0.35,70643.10,43796.42,0.38
36036,Oia,2021-01-01,237,243,0.02,44400.74,42252.81,0.05
36037,Pazos de Borbén,2021-01-01,135,168,0.20,32386.47,25538.22,0.21
36038,Pontevedra,2021-01-01,802,1491,0.46,256525.10,166435.09,0.35
36039,O Porriño,2021-01-01,355,509,0.30,83062.54,56217.53,0.32
36040,Portas,2021-01-01,57,57,0.00,19487.55,19487.55,0.00
36041,Poio,2021-01-01,243,578,0.58,104948.72,27413.54,0.74
36042,Ponteareas,2021-01-01,1061,1208,0.12,155508.53,135473.63,0.13
36043,Ponte Caldelas,2021-01-01,127,238,0.47,38597.62,22398.86,0.42
36044,Pontecesures,2021-01-01,64,108,0.41,19429.92,13841.59,0.29
36045,Redondela,2021-01-01,612,808,0.24,145394.13,105944.45,0.27
36046,Ribadumia,2021-01-01,214,230,0.07,59050.03,54869.47,0.07
36047,Rodeiro,2021-01-01,305,313,0.03,44853.43,43551.42,0.03
36048,O Rosal,2021-01-01,98,479,0.80,80012.16,6500.60,0.92
36049,Salceda de Caselas,2021-01-01,182,207,0.12,33663.18,30023.34,0.11
36050,Salvaterra de Miño,2021-01-01,554,645,0.14,91601.71,75025.13,0.18
36051,Sanxenxo,2021-01-01,410,479,0.14,90517.37,82478.00,0.09
36052,Silleda,2021-01-01,422,464,0.09,81230.38,73898.71,0.09
36053,Soutomaior,2021-01-01,87,126,0.31,26845.17,19246.30,0.28
36054,Tomiño,2021-01-01,557,626,0.11,141280.06,131245.55,0.07
36055,Tui,2021-01-01,403,585,0.31,101517.51,74612.55,0.27
36056,Valga,2021-01-01,144,148,0.03,32890.75,29597.20,0.10
36057,Vigo,2021-01-01,1138,3615,0.69,569803.69,123217.47,0.78
36058,Vilaboa,2021-01-01,141,141,0.00,45044.80,45044.80,0.00
36059,Vila de Cruces,2021-01-01,376,401,0.06,61331.47,58260.41,0.05
36060,Vilagarcía de Arousa,2021-01-01,75,624,0.88,118512.84,22287.68,0.81
36061,Vilanova de Arousa,2021-01-01,189,343,0.45,65899.31,47799.19,0.27
36901,A Illa de Arousa,2021-01-01,30,115,0.74,16412.57,2866.22,0.83
36902,Cerdedo-Cotobade,2021-01-01,572,587,0.03,83320.13,80913.07,0.03
