id,name,date,incomplete,total,percentage
48072,Otxandio,2021-01-31,45,462,0.90
48073,Ondarroa,2021-01-31,19,189,0.90
48074,Urduña/Orduña,2021-01-31,87,584,0.85
48075,Orozko,2021-01-31,53,1153,0.95
48076,Sukarrieta,2021-01-31,7,145,0.95
48077,Plentzia,2021-01-31,32,213,0.85
48078,Portugalete,2021-01-31,78,2047,0.96
48079,Errigoiti,2021-01-31,9,480,0.98
48080,Valle de Trápaga-Trapagaran,2021-01-31,62,1720,0.96
48081,Lezama,2021-01-31,23,453,0.95
48082,Santurtzi,2021-01-31,54,1153,0.95
48083,Ortuella,2021-01-31,30,1010,0.97
48084,Sestao,2021-01-31,36,1200,0.97
48085,Sopelana,2021-01-31,107,1198,0.91
48086,Sopuerta,2021-01-31,10,482,0.98
48087,Trucios-Turtzioz,2021-01-31,2,187,0.99
48088,Ubide,2021-01-31,33,97,0.66
48089,Urduliz,2021-01-31,18,412,0.96
48090,Balmaseda,2021-01-31,26,470,0.94
48091,Atxondo,2021-01-31,9,387,0.98
48092,Bedia,2021-01-31,20,313,0.94
48093,Areatza,2021-01-31,2,193,0.99
48094,Igorre,2021-01-31,17,757,0.98
48095,Zaldibar,2021-01-31,40,206,0.81
48096,Zalla,2021-01-31,18,1123,0.98
48097,Zaratamo,2021-01-31,15,229,0.93
48901,Derio,2021-01-31,94,984,0.90
48902,Erandio,2021-01-31,91,1744,0.95
48903,Loiu,2021-01-31,46,505,0.91
48904,Sondika,2021-01-31,70,479,0.85
48905,Zamudio,2021-01-31,204,1372,0.85
48906,Forua,2021-01-31,19,279,0.93
48907,Kortezubi,2021-01-31,9,456,0.98
48908,Murueta,2021-01-31,7,174,0.96
48909,Nabarniz,2021-01-31,8,355,0.98
48910,Iurreta,2021-01-31,89,627,0.86
48911,Ajangiz,2021-01-31,5,292,0.98
48912,Alonsotegi,2021-01-31,6,475,0.99
48913,Zierbena,2021-01-31,20,532,0.96
48914,Arratzu,2021-01-31,8,326,0.98
48915,Ziortza-Bolibar,2021-01-31,1,211,1.00
,Enirio-Aralarko Mankomunitatea,2021-01-31,0,246,1.00
,Entzia-Goiengo partzuergoa/Parzonería de Entzia-Arriba,2021-01-31,0,2,1.00
,Entziako partzuergoa/Parzonería de Entzia,2021-01-31,0,155,1.00
,Gipuzkoa eta Arabako Partzuergo Orokorra,2021-01-31,0,259,1.00
,Iturrietako partzuergoa/Parzonería de Iturrieta,2021-01-31,0,55,1.00
,Parzonería de Badaya/Badaiako partzuergoa,2021-01-31,0,116,1.00
,Parzonería Menor de Guipúzcoa/Gipuzkoako Partzuergo Txikia,2021-01-31,0,24,1.00
