id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
27011,Castroverde,2021-01-01,378,410,0.08,49722.89,54598.60,0.09
27012,Cervantes,2021-01-01,364,375,0.03,42988.84,44402.04,0.03
27013,Cervo,2021-01-01,1,137,0.99,29.02,17755.40,1.00
27014,O Corgo,2021-01-01,432,467,0.07,55136.03,61116.22,0.10
27015,Cospeito,2021-01-01,71,116,0.39,16801.26,27180.96,0.38
27016,Chantada,2021-01-01,650,723,0.10,75510.71,86641.71,0.13
27017,Folgoso do Courel,2021-01-01,281,372,0.24,21520.73,32740.65,0.34
27018,A Fonsagrada,2021-01-01,471,517,0.09,57104.01,64451.23,0.11
27019,Foz,2021-01-01,20,166,0.88,2109.62,31192.84,0.93
27020,Friol,2021-01-01,3,109,0.97,321.00,16610.24,0.98
27021,Xermade,2021-01-01,3,49,0.94,410.25,6505.41,0.94
27022,Guitiriz,2021-01-01,0,494,1.00,0.00,62841.54,1.00
27023,Guntín,2021-01-01,93,102,0.09,28498.67,30303.55,0.06
27024,O Incio,2021-01-01,265,349,0.24,33999.62,43660.50,0.22
27025,Xove,2021-01-01,0,39,1.00,0.00,7174.58,1.00
27026,Láncara,2021-01-01,347,366,0.05,40425.97,45261.24,0.11
27027,Lourenzá,2021-01-01,52,164,0.68,4159.33,20443.99,0.80
27028,Lugo,2021-01-01,28,2457,0.99,1240.76,343076.06,1.00
27029,Meira,2021-01-01,146,165,0.12,17213.42,20692.48,0.17
27030,Mondoñedo,2021-01-01,33,301,0.89,2342.32,32744.38,0.93
27031,Monforte de Lemos,2021-01-01,505,639,0.21,62455.98,99010.72,0.37
27032,Monterroso,2021-01-01,302,389,0.22,39252.83,51721.46,0.24
27033,Muras,2021-01-01,0,12,1.00,0.00,2274.48,1.00
27034,Navia de Suarna,2021-01-01,364,422,0.14,41943.13,48045.46,0.13
27035,Negueira de Muñiz,2021-01-01,0,36,1.00,0.00,4468.84,1.00
27037,As Nogais,2021-01-01,131,184,0.29,15569.74,24879.59,0.37
27038,Ourol,2021-01-01,0,10,1.00,0.00,1460.13,1.00
27039,Outeiro de Rei,2021-01-01,0,180,1.00,0.00,37740.06,1.00
27040,Palas de Rei,2021-01-01,297,387,0.23,36931.57,51179.93,0.28
27041,Pantón,2021-01-01,212,248,0.15,36435.45,41975.50,0.13
27042,Paradela,2021-01-01,232,255,0.09,30451.24,33702.74,0.10
27043,O Páramo,2021-01-01,146,146,0.00,20083.71,20083.71,0.00
27044,A Pastoriza,2021-01-01,636,677,0.06,69423.38,75494.39,0.08
27045,Pedrafita do Cebreiro,2021-01-01,149,201,0.26,16294.96,25183.54,0.35
27046,Pol,2021-01-01,261,279,0.06,39874.24,41781.60,0.05
27047,A Pobra do Brollón,2021-01-01,329,350,0.06,32453.86,34108.17,0.05
27048,A Pontenova,2021-01-01,289,316,0.09,39677.34,46535.50,0.15
27049,Portomarín,2021-01-01,171,199,0.14,21090.42,25292.76,0.17
27050,Quiroga,2021-01-01,237,464,0.49,25367.77,51208.83,0.50
27051,Ribadeo,2021-01-01,247,437,0.43,27143.75,57804.06,0.53
27052,Ribas de Sil,2021-01-01,65,149,0.56,6908.52,17384.48,0.60
27053,Ribeira de Piquín,2021-01-01,93,149,0.38,10656.61,18634.30,0.43
27054,Riotorto,2021-01-01,134,156,0.14,21669.81,25415.78,0.15
27055,Samos,2021-01-01,229,242,0.05,21809.28,22824.96,0.04
27056,Rábade,2021-01-01,0,65,1.00,0.00,12265.43,1.00
27057,Sarria,2021-01-01,695,898,0.23,65341.96,96330.51,0.32
27058,O Saviñao,2021-01-01,423,475,0.11,60491.56,67827.93,0.11
27059,Sober,2021-01-01,562,579,0.03,49340.95,51757.70,0.05
27060,Taboada,2021-01-01,63,109,0.42,10609.70,17675.51,0.40
27061,Trabada,2021-01-01,88,153,0.42,7585.03,15796.64,0.52
27062,Triacastela,2021-01-01,45,105,0.57,5188.61,13956.95,0.63
27063,O Valadouro,2021-01-01,1,54,0.98,86.71,9687.72,0.99
27064,O Vicedo,2021-01-01,0,24,1.00,0.00,3552.73,1.00
27065,Vilalba,2021-01-01,851,1016,0.16,91369.81,115128.71,0.21
27066,Viveiro,2021-01-01,5,201,0.98,178.05,20709.72,0.99
27901,Baralla,2021-01-01,339,374,0.09,44278.01,49967.34,0.11
27902,Burela,2021-01-01,26,212,0.88,2081.58,37764.03,0.94
32001,Allariz,2021-01-01,197,350,0.44,19288.53,37447.47,0.48
32002,Amoeiro,2021-01-01,179,179,0.00,36290.50,36290.50,0.00
32003,A Arnoia,2021-01-01,95,95,0.00,14438.45,14438.45,0.00
32004,Avión,2021-01-01,209,209,0.00,33575.13,33575.13,0.00
32005,Baltar,2021-01-01,134,136,0.01,17026.48,19150.14,0.11
32006,Bande,2021-01-01,279,289,0.03,28907.44,30269.16,0.04
32007,Baños de Molgas,2021-01-01,221,256,0.14,23226.68,28844.20,0.19
32008,Barbadás,2021-01-01,166,319,0.48,26352.90,53749.06,0.51
32009,O Barco de Valdeorras,2021-01-01,20,455,0.96,2053.38,61515.45,0.97
32010,Beade,2021-01-01,17,30,0.43,3071.97,5691.81,0.46
32011,Beariz,2021-01-01,80,90,0.11,10442.30,12468.57,0.16
32012,Os Blancos,2021-01-01,119,119,0.00,15527.04,15527.04,0.00
32013,Boborás,2021-01-01,287,290,0.01,39157.31,39554.92,0.01
32014,A Bola,2021-01-01,147,149,0.01,16728.92,16844.61,0.01
32015,O Bolo,2021-01-01,42,263,0.84,5512.98,38510.31,0.86
32016,Calvos de Randín,2021-01-01,175,176,0.01,23083.87,23129.10,0.00
32017,Carballeda de Valdeorras,2021-01-01,31,189,0.84,3450.40,26126.61,0.87
32018,Carballeda de Avia,2021-01-01,160,163,0.02,22196.72,22526.95,0.01
32019,O Carballiño,2021-01-01,412,492,0.16,60169.38,74296.59,0.19
32020,Cartelle,2021-01-01,319,341,0.06,46352.11,49480.97,0.06
32021,Castrelo do Val,2021-01-01,219,232,0.06,21528.25,24196.95,0.11
32022,Castrelo de Miño,2021-01-01,149,158,0.06,28455.46,29963.54,0.05
32023,Castro Caldelas,2021-01-01,17,358,0.95,795.67,30854.44,0.97
32024,Celanova,2021-01-01,350,409,0.14,41941.01,50277.53,0.17
32025,Cenlle,2021-01-01,133,142,0.06,20521.41,21318.12,0.04
32026,Coles,2021-01-01,188,190,0.01,36181.34,36425.34,0.01
32027,Cortegada,2021-01-01,143,158,0.09,20062.43,23078.35,0.13
32028,Cualedro,2021-01-01,191,232,0.18,21346.57,27041.41,0.21
32029,Chandrexa de Queixa,2021-01-01,67,103,0.35,6052.98,11211.47,0.46
32030,Entrimo,2021-01-01,116,118,0.02,19695.59,19780.78,0.00
32031,Esgos,2021-01-01,181,181,0.00,16471.31,16471.31,0.00
32032,Xinzo de Limia,2021-01-01,388,412,0.06,66128.49,71817.83,0.08
32033,Gomesende,2021-01-01,140,140,0.00,18207.22,18207.22,0.00
32034,A Gudiña,2021-01-01,120,168,0.29,13139.43,21125.53,0.38
32035,O Irixo,2021-01-01,247,247,0.00,32371.03,32371.03,0.00
32036,Xunqueira de Ambía,2021-01-01,131,162,0.19,17754.21,19559.04,0.09
32037,Xunqueira de Espadanedo,2021-01-01,106,106,0.00,14789.71,14789.71,0.00
32038,Larouco,2021-01-01,0,80,1.00,0.00,8981.54,1.00
32039,Laza,2021-01-01,175,229,0.24,27690.59,32984.51,0.16
32040,Leiro,2021-01-01,142,143,0.01,23427.07,23715.98,0.01
32041,Lobeira,2021-01-01,127,131,0.03,18963.76,19709.08,0.04
32042,Lobios,2021-01-01,218,218,0.00,30639.33,30639.33,0.00
32043,Maceda,2021-01-01,282,361,0.22,24677.27,34178.79,0.28
32044,Manzaneda,2021-01-01,18,264,0.93,815.75,21627.02,0.96
32045,Maside,2021-01-01,263,271,0.03,34460.58,35440.17,0.03
32046,Melón,2021-01-01,140,149,0.06,19722.78,22182.43,0.11
32047,A Merca,2021-01-01,273,298,0.08,32952.75,35139.58,0.06
32048,A Mezquita,2021-01-01,102,134,0.24,12171.20,16390.82,0.26
32049,Montederramo,2021-01-01,85,275,0.69,5433.12,20365.47,0.73
32050,Monterrei,2021-01-01,221,241,0.08,30624.62,33581.71,0.09
32051,Muíños,2021-01-01,235,241,0.02,25984.11,27482.15,0.05
32052,Nogueira de Ramuín,2021-01-01,373,396,0.06,33665.76,35035.07,0.04
