id,name,date,incomplete,total,percentage
08187,Sabadell,2021-01-31,114,4706,0.98
08188,Sagàs,2021-01-31,0,231,1.00
08189,Sant Pere Sallavinera,2021-01-31,0,339,1.00
08190,Saldes,2021-01-31,0,533,1.00
08191,Sallent,2021-01-31,13,1597,0.99
08192,Santpedor,2021-01-31,13,662,0.98
08193,Sant Iscle de Vallalta,2021-01-31,4,329,0.99
08194,Sant Adrià de Besòs,2021-01-31,1,1277,1.00
08195,Sant Agustí de Lluçanès,2021-01-31,0,67,1.00
08196,Sant Andreu de la Barca,2021-01-31,23,768,0.97
08197,Sant Andreu de Llavaneres,2021-01-31,37,667,0.94
08198,Sant Antoni de Vilamajor,2021-01-31,16,373,0.96
08199,Sant Bartomeu del Grau,2021-01-31,0,285,1.00
08200,Sant Boi de Llobregat,2021-01-31,35,3644,0.99
08201,Sant Boi de Lluçanès,2021-01-31,15,153,0.90
08202,Sant Celoni,2021-01-31,39,1819,0.98
08203,Sant Cebrià de Vallalta,2021-01-31,7,324,0.98
08204,Sant Climent de Llobregat,2021-01-31,5,330,0.98
08205,Sant Cugat del Vallès,2021-01-31,79,5478,0.99
08206,Sant Cugat Sesgarrigues,2021-01-31,4,127,0.97
08207,Sant Esteve de Palautordera,2021-01-31,8,254,0.97
08208,Sant Esteve Sesrovires,2021-01-31,6,695,0.99
08209,Sant Fost de Campsentelles,2021-01-31,10,544,0.98
08210,Sant Feliu de Codines,2021-01-31,22,656,0.97
08211,Sant Feliu de Llobregat,2021-01-31,5,1491,1.00
08212,Sant Feliu Sasserra,2021-01-31,1,216,1.00
08213,Sant Fruitós de Bages,2021-01-31,32,1317,0.98
08214,Vilassar de Dalt,2021-01-31,4,574,0.99
08215,Sant Hipòlit de Voltregà,2021-01-31,4,127,0.97
08216,Sant Jaume de Frontanyà,2021-01-31,2,266,0.99
08217,Sant Joan Despí,2021-01-31,9,1141,0.99
08218,Sant Joan de Vilatorrada,2021-01-31,2,1110,1.00
08219,Vilassar de Mar,2021-01-31,24,733,0.97
08220,Sant Julià de Vilatorta,2021-01-31,14,373,0.96
08221,Sant Just Desvern,2021-01-31,15,1181,0.99
08222,Sant Llorenç d'Hortons,2021-01-31,0,306,1.00
08223,Sant Llorenç Savall,2021-01-31,8,1197,0.99
08224,Sant Martí de Centelles,2021-01-31,31,377,0.92
08225,Sant Martí d'Albars,2021-01-31,0,58,1.00
08226,Sant Martí de Tous,2021-01-31,0,403,1.00
08227,Sant Martí Sarroca,2021-01-31,0,688,1.00
08228,Sant Martí Sesgueioles,2021-01-31,0,81,1.00
08229,Sant Mateu de Bages,2021-01-31,1,1053,1.00
