id,ES-TF,ES-CN,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
38022,ES-TF,ES-CN,Icod de los Vinos,2021-01-01,408,707,0.42,55748.78,105022.40,0.47
38025,ES-TF,ES-CN,La Matanza de Acentejo,2021-01-01,65,144,0.55,7000.94,27543.94,0.75
38027,ES-TF,ES-CN,El Paso,2021-01-01,87,215,0.60,13019.58,53627.83,0.76
38041,ES-TF,ES-CN,El Sauzal,2021-01-01,53,199,0.73,6965.56,38756.89,0.82
38002,ES-TF,ES-CN,Agulo,2021-01-01,12,29,0.59,6157.29,7658.25,0.20
38048,ES-TF,ES-CN,Valverde,2021-01-01,84,297,0.72,10269.77,43061.69,0.76
38033,ES-TF,ES-CN,San Andrés y Sauces,2021-01-01,31,84,0.63,7074.68,18044.08,0.61
38016,ES-TF,ES-CN,Garafía,2021-01-01,35,57,0.39,12480.56,14387.48,0.13
38021,ES-TF,ES-CN,Hermigua,2021-01-01,25,29,0.14,6423.55,7030.33,0.09
38024,ES-TF,ES-CN,Los Llanos de Aridane,2021-01-01,138,429,0.68,17204.46,70811.09,0.76
38043,ES-TF,ES-CN,Tacoronte,2021-01-01,154,440,0.65,17840.79,92593.83,0.81
38032,ES-TF,ES-CN,El Rosario,2021-01-01,52,329,0.84,5534.20,58821.65,0.91
38052,ES-TF,ES-CN,Vilaflor,2021-01-01,34,77,0.56,3307.34,8898.74,0.63
38039,ES-TF,ES-CN,Santa Úrsula,2021-01-01,61,462,0.87,3950.75,57667.79,0.93
38007,ES-TF,ES-CN,Barlovento,2021-01-01,31,49,0.37,7517.63,11131.68,0.32
38010,ES-TF,ES-CN,Buenavista del Norte,2021-01-01,97,220,0.56,8096.79,25220.25,0.68
38029,ES-TF,ES-CN,Puntagorda,2021-01-01,20,79,0.75,5283.10,24151.39,0.78
38038,ES-TF,ES-CN,Santa Cruz de Tenerife,2021-01-01,468,3013,0.84,29832.94,369530.18,0.92
38018,ES-TF,ES-CN,La Guancha,2021-01-01,67,194,0.65,6407.50,24629.10,0.74
38026,ES-TF,ES-CN,La Orotava,2021-01-01,489,1018,0.52,59932.66,153642.37,0.61
38901,ES-TF,ES-CN,El Pinar de El Hierro,2021-01-01,22,98,0.78,7492.57,18473.44,0.59
38015,ES-TF,ES-CN,Garachico,2021-01-01,46,210,0.78,5220.35,24981.13,0.79
38037,ES-TF,ES-CN,Santa Cruz de la Palma,2021-01-01,80,286,0.72,5952.49,26810.70,0.78
38042,ES-TF,ES-CN,Los Silos,2021-01-01,16,195,0.92,594.29,21201.01,0.97
38040,ES-TF,ES-CN,Santiago del Teide,2021-01-01,55,274,0.80,3529.51,31966.95,0.89
38005,ES-TF,ES-CN,Arico,2021-01-01,133,438,0.70,15216.26,59522.95,0.74
38044,ES-TF,ES-CN,El Tanque,2021-01-01,51,126,0.60,4859.28,17500.76,0.72
38012,ES-TF,ES-CN,Fasnia,2021-01-01,30,98,0.69,3764.36,18692.72,0.80
38019,ES-TF,ES-CN,Guía de Isora,2021-01-01,82,474,0.83,10014.48,63172.83,0.84
38013,ES-TF,ES-CN,Frontera,2021-01-01,28,152,0.82,1817.36,20710.59,0.91
38020,ES-TF,ES-CN,Güímar,2021-01-01,144,448,0.68,13759.67,62169.81,0.78
38047,ES-TF,ES-CN,Tijarafe,2021-01-01,54,88,0.39,14280.74,26190.09,0.45
