id,name,date,incomplete,total,percentage
10137,Palomero,2021-01-31,10,54,0.81
10138,Pasarón de la Vera,2021-01-31,62,139,0.55
10139,Pedroso de Acim,2021-01-31,17,82,0.79
10140,Peraleda de la Mata,2021-01-31,39,516,0.92
10141,Peraleda de San Román,2021-01-31,100,194,0.48
10142,Perales del Puerto,2021-01-31,22,143,0.85
10143,Pescueza,2021-01-31,23,48,0.52
10144,La Pesga,2021-01-31,26,82,0.68
10145,Piedras Albas,2021-01-31,9,38,0.76
10146,Pinofranqueado,2021-01-31,92,599,0.85
10147,Piornal,2021-01-31,65,438,0.85
10148,Plasencia,2021-01-31,272,3465,0.92
10149,Plasenzuela,2021-01-31,26,68,0.62
10150,Portaje,2021-01-31,43,128,0.66
10151,Portezuelo,2021-01-31,22,136,0.84
10152,Pozuelo de Zarzón,2021-01-31,46,137,0.66
10153,Puerto de Santa Cruz,2021-01-31,17,70,0.76
10154,Rebollar,2021-01-31,0,41,1.00
10155,Riolobos,2021-01-31,49,141,0.65
10156,Robledillo de Gata,2021-01-31,6,93,0.94
10157,Robledillo de la Vera,2021-01-31,6,79,0.92
10158,Robledillo de Trujillo,2021-01-31,45,85,0.47
10159,Robledollano,2021-01-31,20,105,0.81
10160,Romangordo,2021-01-31,9,182,0.95
10161,Ruanes,2021-01-31,13,25,0.48
10162,Salorino,2021-01-31,47,290,0.84
10163,Salvatierra de Santiago,2021-01-31,13,46,0.72
10164,San Martín de Trevejo,2021-01-31,21,125,0.83
10165,Santa Ana,2021-01-31,28,44,0.36
10166,Santa Cruz de la Sierra,2021-01-31,29,68,0.57
10167,Santa Cruz de Paniagua,2021-01-31,14,136,0.90
10168,Santa Marta de Magasca,2021-01-31,41,50,0.18
10169,Santiago de Alcántara,2021-01-31,20,123,0.84
10170,Santiago del Campo,2021-01-31,20,214,0.91
10171,Santibáñez el Alto,2021-01-31,24,233,0.90
10172,Santibáñez el Bajo,2021-01-31,10,134,0.93
10173,Saucedilla,2021-01-31,25,207,0.88
10174,Segura de Toro,2021-01-31,7,29,0.76
10175,Serradilla,2021-01-31,65,543,0.88
10176,Serrejón,2021-01-31,16,186,0.91
10177,Sierra de Fuentes,2021-01-31,27,269,0.90
10178,Talaván,2021-01-31,54,337,0.84
10179,Talaveruela de la Vera,2021-01-31,32,49,0.35
10180,Talayuela,2021-01-31,101,672,0.85
10181,Tejeda de Tiétar,2021-01-31,61,73,0.16
10182,Toril,2021-01-31,1,182,0.99
10183,Tornavacas,2021-01-31,60,196,0.69
10184,El Torno,2021-01-31,21,138,0.85
10185,Torrecilla de los Ángeles,2021-01-31,50,161,0.69
10186,Torrecillas de la Tiesa,2021-01-31,47,148,0.68
10187,Torre de Don Miguel,2021-01-31,38,145,0.74
10188,Torre de Santa María,2021-01-31,4,131,0.97
10189,Torrejoncillo,2021-01-31,122,315,0.61
10190,Torrejón el Rubio,2021-01-31,28,400,0.93
10191,Torremenga,2021-01-31,27,41,0.34
10192,Torremocha,2021-01-31,59,177,0.67
10193,Torreorgaz,2021-01-31,21,184,0.89
10194,Torrequemada,2021-01-31,68,143,0.52
10195,Trujillo,2021-01-31,117,1396,0.92
10196,Valdastillas,2021-01-31,24,144,0.83
10197,Valdecañas de Tajo,2021-01-31,13,40,0.68
10198,Valdefuentes,2021-01-31,57,163,0.65
10199,Valdehúncar,2021-01-31,20,197,0.90
10200,Valdelacasa de Tajo,2021-01-31,118,175,0.33
10201,Valdemorales,2021-01-31,34,81,0.58
10202,Valdeobispo,2021-01-31,37,110,0.66
10203,Valencia de Alcántara,2021-01-31,104,976,0.89
10204,Valverde de la Vera,2021-01-31,3,86,0.97
10205,Valverde del Fresno,2021-01-31,0,640,1.00
10206,Viandar de la Vera,2021-01-31,36,97,0.63
10207,Villa del Campo,2021-01-31,38,110,0.65
10208,Villa del Rey,2021-01-31,15,64,0.77
10209,Villamesías,2021-01-31,44,103,0.57
10210,Villamiel,2021-01-31,26,221,0.88
10211,Villanueva de la Sierra,2021-01-31,95,207,0.54
10212,Villanueva de la Vera,2021-01-31,48,395,0.88
10213,Villar del Pedroso,2021-01-31,45,320,0.86
10214,Villar de Plasencia,2021-01-31,26,129,0.80
10215,Villasbuenas de Gata,2021-01-31,8,142,0.94
10216,Zarza de Granadilla,2021-01-31,112,397,0.72
10217,Zarza de Montánchez,2021-01-31,44,211,0.79
10218,Zarza la Mayor,2021-01-31,35,302,0.88
10219,Zorita,2021-01-31,53,182,0.71
10901,Rosalejo,2021-01-31,8,81,0.90
10902,Vegaviana,2021-01-31,14,102,0.86
10903,Alagón del Río,2021-01-31,3,86,0.97
10905,Pueblonuevo de Miramontes,2021-01-31,24,58,0.59
,Mérida,2021-01-31,267,2362,0.89
,Tiétar,2021-01-31,25,46,0.46
