id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
03121,Santa Pola,2021-02-03,100,1000,0.90,143381.19,12084.21,0.92
03122,Sant Vicent del Raspeig / San Vicente del Raspeig,2021-02-03,161,806,0.80,146382.86,16220.10,0.89
03123,Sax,2021-02-03,21,249,0.92,34041.49,2216.72,0.93
03124,Sella,2021-02-03,18,42,0.57,4699.68,1837.87,0.61
03125,Senija,2021-02-03,7,34,0.79,4548.58,297.05,0.93
03127,Tàrbena,2021-02-03,1,7,0.86,730.97,17.48,0.98
03128,Teulada,2021-02-03,250,780,0.68,158620.27,40312.18,0.75
03129,Tibi,2021-02-03,13,72,0.82,19226.13,1034.07,0.95
03130,Tollos,2021-02-03,1,8,0.88,517.56,37.26,0.93
03131,Tormos,2021-02-03,8,23,0.65,2274.27,738.29,0.68
03132,la Torre de les Maçanes / Torremanzanas,2021-02-03,18,41,0.56,7932.19,1807.68,0.77
03133,Torrevieja,2021-02-03,511,2433,0.79,413897.25,51192.27,0.88
03134,la Vall d'Alcalà,2021-02-03,1,13,0.92,1371.01,96.11,0.93
03135,la Vall d'Ebo,2021-02-03,1,14,0.93,1362.41,47.76,0.96
03136,Vall de Gallinera,2021-02-03,20,40,0.50,4119.52,1625.21,0.61
03137,la Vall de Laguar,2021-02-03,2,51,0.96,3534.12,41.84,0.99
03138,el Verger,2021-02-03,51,215,0.76,26383.29,4350.14,0.84
03139,la Vila Joiosa / Villajoyosa,2021-02-03,249,505,0.51,87739.56,42845.59,0.51
03140,Villena,2021-02-03,34,478,0.93,68600.26,4678.90,0.93
03901,els Poblets,2021-02-03,42,320,0.87,39183.47,1807.88,0.95
03902,Pilar de la Horadada,2021-02-03,80,1172,0.93,225469.28,9495.83,0.96
03903,Los Montesinos,2021-02-03,32,195,0.84,31344.80,4023.61,0.87
03904,San Isidro,2021-02-03,8,80,0.90,18925.48,1229.18,0.94
12001,Atzeneta del Maestrat,2021-02-03,4,91,0.96,8918.74,208.67,0.98
12002,Aín,2021-02-03,1,35,0.97,1767.86,15.97,0.99
12003,Albocàsser,2021-02-03,11,52,0.79,7566.66,2836.45,0.63
12004,Alcalà de Xivert,2021-02-03,54,376,0.86,65124.03,7039.84,0.89
12005,l'Alcora,2021-02-03,53,420,0.87,44101.12,6530.87,0.85
12006,Alcudia de Veo,2021-02-03,6,60,0.90,2914.55,172.45,0.94
12007,Alfondeguilla,2021-02-03,0,43,1.00,3581.58,0.00,1.00
12008,Algimia de Almonacid,2021-02-03,3,67,0.96,3711.07,130.54,0.96
12009,Almassora,2021-02-03,101,553,0.82,90795.08,10478.86,0.88
12010,Almedíjar,2021-02-03,10,27,0.63,3475.16,1562.02,0.55
12011,Almenara,2021-02-03,8,260,0.97,43300.48,421.21,0.99
12012,Altura,2021-02-03,5,253,0.98,19791.32,272.32,0.99
12013,Arañuel,2021-02-03,2,9,0.78,701.30,187.72,0.73
12014,Ares del Maestrat,2021-02-03,20,42,0.52,4078.23,631.15,0.85
12015,Argelita,2021-02-03,1,30,0.97,2087.58,46.92,0.98
12016,Artana,2021-02-03,6,125,0.95,12381.27,721.70,0.94
12017,Ayódar,2021-02-03,9,43,0.79,3955.37,531.81,0.87
12018,Azuébar,2021-02-03,0,63,1.00,4257.87,0.00,1.00
12020,Barracas,2021-02-03,2,17,0.88,2397.86,153.14,0.94
12021,Betxí,2021-02-03,32,144,0.78,33102.40,11474.61,0.65
12022,Bejís,2021-02-03,4,44,0.91,4233.12,343.75,0.92
12024,Benafer,2021-02-03,8,32,0.75,4009.09,2334.33,0.42
12025,Benafigos,2021-02-03,5,35,0.86,1920.20,145.98,0.92
12026,Benassal,2021-02-03,11,101,0.89,10730.89,2158.81,0.80
12027,Benicarló,2021-02-03,27,429,0.94,71413.30,1458.41,0.98
12028,Benicàssim / Benicasim,2021-02-03,68,879,0.92,113529.97,2889.85,0.97
12029,Benlloc,2021-02-03,1,63,0.98,6204.25,54.14,0.99
12031,Borriol,2021-02-03,60,274,0.78,46912.23,11293.66,0.76
12032,Borriana / Burriana,2021-02-03,41,614,0.93,90790.37,3477.05,0.96
12033,Cabanes,2021-02-03,48,253,0.81,42923.25,7308.70,0.83
12034,Càlig,2021-02-03,8,70,0.89,9040.82,845.26,0.91
12036,Canet lo Roig,2021-02-03,13,51,0.75,5823.78,1330.13,0.77
12037,Castell de Cabres,2021-02-03,1,8,0.88,766.29,37.64,0.95
12038,Castellfort,2021-02-03,0,39,1.00,2873.97,0.00,1.00
12039,Castellnovo,2021-02-03,5,63,0.92,6919.64,353.87,0.95
12040,Castelló de la Plana,2021-02-03,434,2749,0.84,363226.39,55264.56,0.85
12041,Castillo de Villamalefa,2021-02-03,4,70,0.94,4598.05,154.85,0.97
12042,Catí,2021-02-03,0,50,1.00,5472.41,0.00,1.00
12043,Caudiel,2021-02-03,18,83,0.78,7726.24,1456.16,0.81
12044,Cervera del Maestre,2021-02-03,14,48,0.71,4935.48,1243.12,0.75
12045,Cinctorres,2021-02-03,12,49,0.76,4807.96,1339.90,0.72
12046,Cirat,2021-02-03,4,55,0.93,4033.48,113.34,0.97
12048,Cortes de Arenoso,2021-02-03,22,55,0.60,5780.88,2963.04,0.49
12049,Costur,2021-02-03,4,53,0.92,5854.06,637.99,0.89
12050,les Coves de Vinromà,2021-02-03,10,75,0.87,13110.58,5156.29,0.61
12051,Culla,2021-02-03,5,37,0.86,3092.60,1206.03,0.61
12052,Xert,2021-02-03,17,57,0.70,6002.57,1212.20,0.80
12053,Xilxes / Chilches,2021-02-03,4,167,0.98,27870.24,469.09,0.98
12055,Xodos / Chodos,2021-02-03,0,56,1.00,2986.19,0.00,1.00
12056,Chóvar,2021-02-03,2,67,0.97,4404.69,93.76,0.98
12057,Eslida,2021-02-03,0,86,1.00,6667.54,0.00,1.00
12058,Espadilla,2021-02-03,5,8,0.38,1137.39,686.79,0.40
12059,Fanzara,2021-02-03,7,39,0.82,3073.65,627.83,0.80
12060,Figueroles,2021-02-03,3,44,0.93,4718.22,203.16,0.96
12061,Forcall,2021-02-03,12,51,0.76,4067.24,852.97,0.79
12063,Fuente la Reina,2021-02-03,2,7,0.71,461.89,31.88,0.93
12064,Fuentes de Ayódar,2021-02-03,11,14,0.21,948.13,670.68,0.29
12065,Gaibiel,2021-02-03,8,49,0.84,4746.21,931.23,0.80
12067,Geldo,2021-02-03,0,46,1.00,3925.48,0.00,1.00
12068,Herbers,2021-02-03,0,14,1.00,1334.28,0.00,1.00
12069,Higueras,2021-02-03,1,18,0.94,2027.58,805.19,0.60
12070,la Jana,2021-02-03,2,31,0.94,4660.30,434.27,0.91
12071,Jérica,2021-02-03,30,104,0.71,10850.19,3178.05,0.71
12072,Llucena / Lucena del Cid,2021-02-03,21,95,0.78,7984.95,2380.18,0.70
12073,Ludiente,2021-02-03,1,59,0.98,3822.11,27.12,0.99
12074,la Llosa,2021-02-03,31,75,0.59,6471.91,1469.62,0.77
12075,la Mata,2021-02-03,0,26,1.00,2253.41,0.00,1.00
12076,Matet,2021-02-03,1,45,0.98,2382.18,22.61,0.99
12077,Moncofa,2021-02-03,14,324,0.96,62720.21,2708.62,0.96
12078,Montán,2021-02-03,9,59,0.85,6793.31,2092.43,0.69
12079,Montanejos,2021-02-03,8,51,0.84,3895.26,366.13,0.91
12080,Morella,2021-02-03,34,149,0.77,20826.67,9537.78,0.54
12081,Navajas,2021-02-03,5,89,0.94,8623.37,138.70,0.98
12082,Nules,2021-02-03,17,295,0.94,43455.76,4140.87,0.90
12083,Olocau del Rey,2021-02-03,5,16,0.69,2178.27,991.63,0.54
12084,Onda,2021-02-03,50,559,0.91,80528.50,7457.40,0.91
12085,Orpesa / Oropesa del Mar,2021-02-03,59,672,0.91,107514.36,5127.87,0.95
12087,Palanques,2021-02-03,0,12,1.00,1038.34,0.00,1.00
12088,Pavías,2021-02-03,16,25,0.36,1591.32,851.74,0.46
12089,Peníscola / Peñíscola,2021-02-03,224,485,0.54,84871.45,27842.29,0.67
12090,Pina de Montalgrao,2021-02-03,5,33,0.85,2478.89,540.80,0.78
12091,Portell de Morella,2021-02-03,5,21,0.76,2638.44,627.16,0.76
12092,Puebla de Arenoso,2021-02-03,7,36,0.81,2865.94,762.50,0.73
12093,la Pobla de Benifassà,2021-02-03,24,99,0.76,7618.54,1609.36,0.79
12094,la Pobla Tornesa,2021-02-03,1,66,0.98,9064.74,95.18,0.99
12095,Ribesalbes,2021-02-03,11,51,0.78,5623.05,2147.39,0.62
12096,Rossell,2021-02-03,1,56,0.98,8279.62,176.40,0.98
12097,Sacañet,2021-02-03,0,47,1.00,2306.34,0.00,1.00
12098,la Salzadella,2021-02-03,7,36,0.81,4416.67,943.47,0.79
12099,Sant Jordi / San Jorge,2021-02-03,0,90,1.00,21810.08,0.00,1.00
12100,Sant Mateu,2021-02-03,6,84,0.93,10714.42,555.24,0.95
12101,San Rafael del Río,2021-02-03,2,49,0.96,4666.61,92.64,0.98
12102,Santa Magdalena de Pulpis,2021-02-03,0,36,1.00,4709.71,0.00,1.00
12103,la Serratella,2021-02-03,0,21,1.00,1576.30,0.00,1.00
12104,Segorbe,2021-02-03,84,361,0.77,37145.69,7749.16,0.79
12105,Sierra Engarcerán,2021-02-03,9,94,0.90,9331.14,657.03,0.93
12106,Soneja,2021-02-03,49,91,0.46,12954.44,5496.04,0.58
12107,Sot de Ferrer,2021-02-03,7,52,0.87,6175.25,897.93,0.85
12108,Suera / Sueras,2021-02-03,1,47,0.98,5208.63,310.23,0.94
12109,Tales,2021-02-03,9,56,0.84,5844.77,2117.75,0.64
12110,Teresa,2021-02-03,20,29,0.31,2251.50,1571.90,0.30
12111,Tírig,2021-02-03,0,51,1.00,5276.11,0.00,1.00
12112,Todolella,2021-02-03,3,20,0.85,3023.84,1008.36,0.67
12113,Toga,2021-02-03,0,30,1.00,1761.31,0.00,1.00
12114,Torás,2021-02-03,12,36,0.67,7781.01,4659.23,0.40
12115,El Toro,2021-02-03,4,65,0.94,6309.43,144.76,0.98
12116,Torralba del Pinar,2021-02-03,4,14,0.71,1141.76,274.14,0.76
12117,Torreblanca,2021-02-03,31,259,0.88,38699.00,5443.68,0.86
12118,Torrechiva,2021-02-03,2,29,0.93,1771.71,141.64,0.92
12119,la Torre d'en Besora,2021-02-03,4,25,0.84,2376.70,1267.76,0.47
12120,la Torre d'en Doménec,2021-02-03,3,31,0.90,3629.14,510.66,0.86
12121,Traiguera,2021-02-03,11,75,0.85,8021.99,1582.21,0.80
12122,les Useres / Useras,2021-02-03,5,40,0.88,4220.10,117.09,0.97
12123,Vallat,2021-02-03,4,28,0.86,1287.85,108.14,0.92
12124,Vall d'Alba,2021-02-03,51,199,0.74,24167.46,8661.43,0.64
12125,Vall de Almonacid,2021-02-03,3,72,0.96,4243.26,348.68,0.92
12126,la Vall d'Uixó,2021-02-03,85,870,0.90,99326.90,9607.40,0.90
12127,Vallibona,2021-02-03,2,34,0.94,1975.16,294.16,0.85
12128,Vilafamés,2021-02-03,40,126,0.68,21828.44,13503.44,0.38
12129,Vilafranca / Villafranca del Cid,2021-02-03,2,246,0.99,22503.87,521.75,0.98
12130,Villahermosa del Río,2021-02-03,7,63,0.89,4519.66,281.87,0.94
12131,Villamalur,2021-02-03,0,28,1.00,1837.57,0.00,1.00
12132,Vilanova d'Alcolea,2021-02-03,0,44,1.00,4905.93,0.00,1.00
12133,Villanueva de Viver,2021-02-03,1,27,0.96,1850.11,12.91,0.99
12134,Vilar de Canes,2021-02-03,1,27,0.96,1987.27,182.00,0.91
12135,Vila-real,2021-02-03,56,688,0.92,112539.92,8294.60,0.93
12136,la Vilavella,2021-02-03,0,120,1.00,12221.17,0.00,1.00
12137,Villores,2021-02-03,2,16,0.88,2045.47,177.00,0.91
12138,Vinaròs,2021-02-03,314,909,0.65,147120.13,39168.95,0.73
12139,Vistabella del Maestrat,2021-02-03,14,111,0.87,9122.66,1179.69,0.87
12140,Viver,2021-02-03,20,107,0.81,11945.28,1426.71,0.88
12141,Zorita del Maestrazgo,2021-02-03,4,28,0.86,3558.44,555.35,0.84
12142,Zucaina,2021-02-03,1,92,0.99,4899.56,20.14,1.00
12901,les Alqueries / Alquerías del Niño Perdido,2021-02-03,11,190,0.94,31721.34,1276.23,0.96
12902,Sant Joan de Moró,2021-02-03,18,167,0.89,20547.01,1698.17,0.92
46001,Ademuz,2021-02-03,24,72,0.67,7662.97,2668.79,0.65
46002,Ador,2021-02-03,1,48,0.98,7930.50,4.99,1.00
46003,Atzeneta d'Albaida,2021-02-03,10,68,0.85,5996.97,940.36,0.84
46004,Agullent,2021-02-03,26,90,0.71,16176.24,7976.14,0.51
46005,Alaquàs,2021-02-03,11,233,0.95,40533.62,949.46,0.98
46006,Albaida,2021-02-03,39,222,0.82,24052.63,2380.31,0.90
46007,Albal,2021-02-03,38,245,0.84,47278.31,3955.09,0.92
46008,Albalat de la Ribera,2021-02-03,2,92,0.98,14084.22,116.47,0.99
46009,Albalat dels Sorells,2021-02-03,26,108,0.76,16022.42,2788.96,0.83
46010,Albalat dels Tarongers,2021-02-03,19,126,0.85,20900.04,2658.49,0.87
46011,Alberic,2021-02-03,4,339,0.99,59242.12,250.67,1.00
46012,Alborache,2021-02-03,2,65,0.97,9400.92,61.79,0.99
46013,Alboraia / Alboraya,2021-02-03,30,305,0.90,43710.78,1861.83,0.96
46014,Albuixech,2021-02-03,12,81,0.85,14020.44,754.94,0.95
46015,Alcàsser,2021-02-03,9,184,0.95,28338.66,313.20,0.99
46016,Alcàntera de Xúquer,2021-02-03,4,47,0.91,5734.69,220.32,0.96
46017,Alzira,2021-02-03,82,746,0.89,112793.06,5297.79,0.95
46018,Alcublas,2021-02-03,0,83,1.00,6897.04,0.00,1.00
46019,l'Alcúdia,2021-02-03,0,368,1.00,52134.69,0.00,1.00
46020,l'Alcúdia de Crespins,2021-02-03,5,136,0.96,16902.20,285.83,0.98
46021,Aldaia,2021-02-03,27,406,0.93,57495.71,1516.48,0.97
46022,Alfafar,2021-02-03,9,177,0.95,27160.61,493.67,0.98
46023,Alfauir,2021-02-03,0,23,1.00,2315.31,0.00,1.00
46024,Alfara de la Baronia,2021-02-03,2,45,0.96,4542.85,416.32,0.91
46025,Alfara del Patriarca,2021-02-03,21,86,0.76,11498.69,2466.76,0.79
46026,Alfarp,2021-02-03,0,57,1.00,8226.72,0.00,1.00
46027,Alfarrasí,2021-02-03,0,42,1.00,5164.86,0.00,1.00
46028,Algar de Palancia,2021-02-03,0,76,1.00,8179.75,0.00,1.00
46029,Algemesí,2021-02-03,29,417,0.93,65863.81,4378.85,0.93
46030,Algímia d'Alfara,2021-02-03,0,61,1.00,7452.43,0.00,1.00
46031,Alginet,2021-02-03,7,263,0.97,48986.86,620.07,0.99
46032,Almàssera,2021-02-03,4,85,0.95,11067.38,300.89,0.97
46033,Almiserà,2021-02-03,0,20,1.00,1791.50,0.00,1.00
46034,Almoines,2021-02-03,4,58,0.93,6221.17,201.16,0.97
46035,Almussafes,2021-02-03,20,186,0.89,25233.32,1642.55,0.93
46036,Alpuente,2021-02-03,1,179,0.99,17523.20,201.63,0.99
46037,l'Alqueria de la Comtessa,2021-02-03,7,82,0.91,10147.85,966.25,0.90
46038,Andilla,2021-02-03,3,30,0.90,3233.67,129.67,0.96
46039,Anna,2021-02-03,5,95,0.95,10994.18,868.58,0.92
46040,Antella,2021-02-03,0,55,1.00,5551.22,0.00,1.00
46041,Aras de los Olmos,2021-02-03,10,89,0.89,8256.59,883.42,0.89
46042,Aielo de Malferit,2021-02-03,3,83,0.96,14734.16,710.52,0.95
46043,Aielo de Rugat,2021-02-03,3,10,0.70,1104.21,136.82,0.88
46044,Ayora,2021-02-03,7,150,0.95,15525.49,584.32,0.96
46045,Barxeta,2021-02-03,0,36,1.00,5847.92,0.00,1.00
46046,Barx,2021-02-03,6,95,0.94,14604.37,281.01,0.98
