id,ES-M,ES-MD,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
28124,ES-M,ES-MD,Robledillo de la Jara,2021-02-13,7,43,0.84,405.75,3453.63,0.88
28125,ES-M,ES-MD,Robledo de Chavela,2021-02-13,27,307,0.91,3378.73,66873.34,0.95
28126,ES-M,ES-MD,Robregordo,2021-02-13,5,23,0.78,506.84,3760.24,0.87
28127,ES-M,ES-MD,Las Rozas de Madrid,2021-02-13,114,1413,0.92,6466.78,262015.95,0.98
28128,ES-M,ES-MD,Rozas de Puerto Real,2021-02-13,1,68,0.99,10.42,8982.51,1.00
28129,ES-M,ES-MD,San Agustín del Guadalix,2021-02-13,34,241,0.86,3602.78,41229.19,0.91
28130,ES-M,ES-MD,San Fernando de Henares,2021-02-13,32,523,0.94,4555.02,71763.45,0.94
28131,ES-M,ES-MD,San Lorenzo de El Escorial,2021-02-13,36,387,0.91,4021.03,60866.07,0.93
28132,ES-M,ES-MD,San Martín de la Vega,2021-02-13,110,490,0.78,10714.85,84970.59,0.87
28133,ES-M,ES-MD,San Martín de Valdeiglesias,2021-02-13,14,400,0.97,1708.22,66162.35,0.97
28134,ES-M,ES-MD,San Sebastián de los Reyes,2021-02-13,252,960,0.74,22529.60,163663.00,0.86
28135,ES-M,ES-MD,Santa María de la Alameda,2021-02-13,36,246,0.85,2319.59,33183.38,0.93
28136,ES-M,ES-MD,Santorcaz,2021-02-13,8,101,0.92,455.75,12181.52,0.96
28137,ES-M,ES-MD,Los Santos de la Humosa,2021-02-13,12,114,0.89,448.78,16675.54,0.97
28138,ES-M,ES-MD,La Serna del Monte,2021-02-13,0,19,1.00,0.00,1651.81,1.00
28140,ES-M,ES-MD,Serranillos del Valle,2021-02-13,3,108,0.97,242.67,25007.43,0.99
28141,ES-M,ES-MD,Sevilla la Nueva,2021-02-13,11,202,0.95,446.50,38319.60,0.99
28143,ES-M,ES-MD,Somosierra,2021-02-13,3,20,0.85,83.34,2231.25,0.96
28144,ES-M,ES-MD,Soto del Real,2021-02-13,64,379,0.83,4428.90,67717.72,0.93
28145,ES-M,ES-MD,Talamanca de Jarama,2021-02-13,14,136,0.90,1718.45,22501.31,0.92
28146,ES-M,ES-MD,Tielmes,2021-02-13,2,98,0.98,90.30,11174.20,0.99
28147,ES-M,ES-MD,Titulcia,2021-02-13,41,56,0.27,5457.92,8209.73,0.34
28148,ES-M,ES-MD,Torrejón de Ardoz,2021-02-13,143,1099,0.87,11043.25,141865.39,0.92
28149,ES-M,ES-MD,Torrejón de la Calzada,2021-02-13,57,179,0.68,7008.43,34090.36,0.79
28150,ES-M,ES-MD,Torrejón de Velasco,2021-02-13,7,110,0.94,516.21,16701.05,0.97
28151,ES-M,ES-MD,Torrelaguna,2021-02-13,15,199,0.92,756.16,26605.25,0.97
28152,ES-M,ES-MD,Torrelodones,2021-02-13,7,682,0.99,264.44,118030.98,1.00
28153,ES-M,ES-MD,Torremocha de Jarama,2021-02-13,17,70,0.76,807.08,9662.60,0.92
28154,ES-M,ES-MD,Torres de la Alameda,2021-02-13,19,198,0.90,2642.89,39170.17,0.93
28155,ES-M,ES-MD,Valdaracete,2021-02-13,0,51,1.00,0.00,7421.25,1.00
28156,ES-M,ES-MD,Valdeavero,2021-02-13,6,77,0.92,279.34,17058.96,0.98
28157,ES-M,ES-MD,Valdelaguna,2021-02-13,2,74,0.97,139.43,10978.64,0.99
28158,ES-M,ES-MD,Valdemanco,2021-02-13,21,69,0.70,1473.83,9591.08,0.85
28159,ES-M,ES-MD,Valdemaqueda,2021-02-13,0,115,1.00,0.00,15971.54,1.00
28160,ES-M,ES-MD,Valdemorillo,2021-02-13,60,593,0.90,7961.88,120158.80,0.93
28161,ES-M,ES-MD,Valdemoro,2021-02-13,282,1013,0.72,30828.93,156296.35,0.80
28162,ES-M,ES-MD,Valdeolmos-Alalpardo,2021-02-13,17,91,0.81,1745.41,17829.66,0.90
28163,ES-M,ES-MD,Valdepiélagos,2021-02-13,1,29,0.97,80.45,5782.97,0.99
28164,ES-M,ES-MD,Valdetorres de Jarama,2021-02-13,40,153,0.74,8172.49,45628.91,0.82
28165,ES-M,ES-MD,Valdilecha,2021-02-13,7,77,0.91,365.85,10426.92,0.96
28166,ES-M,ES-MD,Valverde de Alcalá,2021-02-13,0,37,1.00,0.00,4598.26,1.00
28167,ES-M,ES-MD,Velilla de San Antonio,2021-02-13,43,237,0.82,1405.16,30679.79,0.95
28168,ES-M,ES-MD,El Vellón,2021-02-13,13,82,0.84,971.54,10431.88,0.91
28169,ES-M,ES-MD,Venturada,2021-02-13,25,194,0.87,1399.11,31082.94,0.95
28170,ES-M,ES-MD,Villaconejos,2021-02-13,17,98,0.83,2298.69,17574.72,0.87
28171,ES-M,ES-MD,Villa del Prado,2021-02-13,99,327,0.70,14703.81,70821.98,0.79
28172,ES-M,ES-MD,Villalbilla,2021-02-13,50,575,0.91,2297.51,107718.83,0.98
28173,ES-M,ES-MD,Villamanrique de Tajo,2021-02-13,12,72,0.83,992.86,11030.16,0.91
28174,ES-M,ES-MD,Villamanta,2021-02-13,1,101,0.99,14.88,16387.73,1.00
28175,ES-M,ES-MD,Villamantilla,2021-02-13,21,91,0.77,1314.84,13233.35,0.90
28176,ES-M,ES-MD,Villanueva de la Cañada,2021-02-13,22,429,0.95,2298.58,93898.63,0.98
28177,ES-M,ES-MD,Villanueva del Pardillo,2021-02-13,40,309,0.87,2943.35,51334.82,0.94
28178,ES-M,ES-MD,Villanueva de Perales,2021-02-13,5,49,0.90,793.00,7897.83,0.90
28179,ES-M,ES-MD,Villar del Olmo,2021-02-13,5,69,0.93,299.58,16122.07,0.98
28180,ES-M,ES-MD,Villarejo de Salvanés,2021-02-13,14,227,0.94,6561.97,35424.08,0.81
28181,ES-M,ES-MD,Villaviciosa de Odón,2021-02-13,73,783,0.91,7593.15,137311.39,0.94
28182,ES-M,ES-MD,Villavieja del Lozoya,2021-02-13,14,59,0.76,2521.26,6571.39,0.62
28183,ES-M,ES-MD,Zarzalejo,2021-02-13,22,180,0.88,1292.59,16311.34,0.92
28901,ES-M,ES-MD,Lozoyuela-Navas-Sieteiglesias,2021-02-13,47,146,0.68,3193.03,15958.32,0.80
28902,ES-M,ES-MD,Puentes Viejas,2021-02-13,61,138,0.56,6220.31,15315.69,0.59
28903,ES-M,ES-MD,Tres Cantos,2021-02-13,70,824,0.92,6366.80,145217.01,0.96
-10973818,ES-M,ES-MD,El Redegüelo,2021-02-13,0,0,1,0.00,0.00,1
-10973901,ES-M,ES-MD,Los Baldíos,2021-02-13,0,9,1.00,0.00,1961.27,1.00
