id,ES-LU,ES-GA,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
27029,ES-LU,ES-GA,Meira,2021-02-13,138,165,0.16,16293.26,20692.48,0.21
27030,ES-LU,ES-GA,Mondoñedo,2021-02-13,33,301,0.89,2342.32,32744.38,0.93
27031,ES-LU,ES-GA,Monforte de Lemos,2021-02-13,505,639,0.21,62455.98,99010.72,0.37
27032,ES-LU,ES-GA,Monterroso,2021-02-13,299,389,0.23,38896.06,51721.46,0.25
27033,ES-LU,ES-GA,Muras,2021-02-13,0,12,1.00,0.00,2274.48,1.00
27034,ES-LU,ES-GA,Navia de Suarna,2021-02-13,364,422,0.14,41943.13,48045.46,0.13
27035,ES-LU,ES-GA,Negueira de Muñiz,2021-02-13,0,36,1.00,0.00,4468.84,1.00
27037,ES-LU,ES-GA,As Nogais,2021-02-13,131,184,0.29,15569.74,24879.59,0.37
27038,ES-LU,ES-GA,Ourol,2021-02-13,0,10,1.00,0.00,1460.13,1.00
27039,ES-LU,ES-GA,Outeiro de Rei,2021-02-13,0,185,1.00,0.00,38867.93,1.00
27040,ES-LU,ES-GA,Palas de Rei,2021-02-13,251,384,0.35,30661.75,50897.02,0.40
27041,ES-LU,ES-GA,Pantón,2021-02-13,208,248,0.16,36083.41,41975.50,0.14
27042,ES-LU,ES-GA,Paradela,2021-02-13,232,255,0.09,30451.24,33702.74,0.10
27043,ES-LU,ES-GA,O Páramo,2021-02-13,146,146,0.00,20083.71,20083.71,0.00
27044,ES-LU,ES-GA,A Pastoriza,2021-02-13,607,655,0.07,66992.09,74521.90,0.10
27045,ES-LU,ES-GA,Pedrafita do Cebreiro,2021-02-13,149,200,0.26,16357.17,25134.50,0.35
27046,ES-LU,ES-GA,Pol,2021-02-13,261,279,0.06,39874.24,41781.60,0.05
27047,ES-LU,ES-GA,A Pobra do Brollón,2021-02-13,329,350,0.06,32453.86,34108.17,0.05
27048,ES-LU,ES-GA,A Pontenova,2021-02-13,254,305,0.17,34385.04,45342.72,0.24
27049,ES-LU,ES-GA,Portomarín,2021-02-13,171,199,0.14,21090.42,25292.76,0.17
27050,ES-LU,ES-GA,Quiroga,2021-02-13,237,464,0.49,25350.09,51191.14,0.50
27051,ES-LU,ES-GA,Ribadeo,2021-02-13,247,437,0.43,27143.75,57804.06,0.53
27052,ES-LU,ES-GA,Ribas de Sil,2021-02-13,65,149,0.56,6908.52,17384.48,0.60
27053,ES-LU,ES-GA,Ribeira de Piquín,2021-02-13,93,149,0.38,10656.61,18634.30,0.43
27054,ES-LU,ES-GA,Riotorto,2021-02-13,128,156,0.18,21126.65,25415.78,0.17
27055,ES-LU,ES-GA,Samos,2021-02-13,229,242,0.05,21809.28,22824.96,0.04
27056,ES-LU,ES-GA,Rábade,2021-02-13,0,65,1.00,0.00,12265.43,1.00
27057,ES-LU,ES-GA,Sarria,2021-02-13,695,898,0.23,65341.96,96330.51,0.32
27058,ES-LU,ES-GA,O Saviñao,2021-02-13,398,478,0.17,55292.27,66619.97,0.17
27059,ES-LU,ES-GA,Sober,2021-02-13,562,579,0.03,49340.95,51757.70,0.05
27060,ES-LU,ES-GA,Taboada,2021-02-13,63,109,0.42,10609.70,17675.51,0.40
27061,ES-LU,ES-GA,Trabada,2021-02-13,88,153,0.42,7585.03,15796.64,0.52
27062,ES-LU,ES-GA,Triacastela,2021-02-13,45,105,0.57,5188.61,13956.95,0.63
27063,ES-LU,ES-GA,O Valadouro,2021-02-13,1,54,0.98,86.71,9687.72,0.99
27064,ES-LU,ES-GA,O Vicedo,2021-02-13,0,24,1.00,0.00,3552.73,1.00
27065,ES-LU,ES-GA,Vilalba,2021-02-13,838,1009,0.17,83447.15,107837.73,0.23
27066,ES-LU,ES-GA,Viveiro,2021-02-13,5,203,0.98,178.05,20709.72,0.99
27901,ES-LU,ES-GA,Baralla,2021-02-13,339,374,0.09,44278.01,49967.34,0.11
27902,ES-LU,ES-GA,Burela,2021-02-13,26,213,0.88,2081.58,38391.57,0.95
