id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
47137,Roturas,2021-02-03,0,23,1.00,1526.62,0.00,1.00
47138,Rubí de Bracamonte,2021-02-03,1,27,0.96,3249.67,11.69,1.00
47139,Rueda,2021-02-03,62,222,0.72,17241.24,3457.98,0.80
47140,Saelices de Mayorga,2021-02-03,0,31,1.00,3406.41,0.00,1.00
47141,Salvador de Zapardiel,2021-02-03,12,39,0.69,3044.54,542.66,0.82
47142,San Cebrián de Mazote,2021-02-03,0,36,1.00,3536.46,0.00,1.00
47143,San Llorente,2021-02-03,5,41,0.88,2270.55,151.52,0.93
47144,San Martín de Valvení,2021-02-03,9,35,0.74,2552.79,662.27,0.74
47145,San Miguel del Arroyo,2021-02-03,20,114,0.82,12613.42,1898.11,0.85
47146,San Miguel del Pino,2021-02-03,0,33,1.00,3635.95,0.00,1.00
47147,San Pablo de la Moraleja,2021-02-03,6,39,0.85,2545.81,187.05,0.93
47148,San Pedro de Latarce,2021-02-03,0,55,1.00,7105.16,0.00,1.00
47149,San Pelayo,2021-02-03,0,16,1.00,1197.82,0.00,1.00
47150,San Román de Hornija,2021-02-03,0,62,1.00,5237.19,0.00,1.00
47151,San Salvador,2021-02-03,0,16,1.00,1187.07,0.00,1.00
47152,Santa Eufemia del Arroyo,2021-02-03,0,26,1.00,2525.39,0.00,1.00
47153,Santervás de Campos,2021-02-03,0,66,1.00,5781.68,0.00,1.00
47154,Santibáñez de Valcorba,2021-02-03,5,34,0.85,3820.77,376.59,0.90
47155,Santovenia de Pisuerga,2021-02-03,29,121,0.76,17194.60,4934.80,0.71
47156,San Vicente del Palacio,2021-02-03,8,40,0.80,2777.89,653.61,0.76
47157,Sardón de Duero,2021-02-03,28,63,0.56,7366.50,1901.46,0.74
47158,La Seca,2021-02-03,23,133,0.83,10926.32,944.84,0.91
47159,Serrada,2021-02-03,11,95,0.88,9804.73,598.75,0.94
47160,Siete Iglesias de Trabancos,2021-02-03,5,84,0.94,7912.37,482.17,0.94
47161,Simancas,2021-02-03,43,269,0.84,40953.05,4211.50,0.90
47162,Tamariz de Campos,2021-02-03,0,44,1.00,4154.02,0.00,1.00
47163,Tiedra,2021-02-03,1,82,0.99,6869.56,104.78,0.98
47164,Tordehumos,2021-02-03,1,34,0.97,6913.27,63.57,0.99
47165,Tordesillas,2021-02-03,6,432,0.99,70272.60,516.61,0.99
47166,Torrecilla de la Abadesa,2021-02-03,0,29,1.00,2878.92,0.00,1.00
47167,Torrecilla de la Orden,2021-02-03,25,79,0.68,6062.01,762.59,0.87
47168,Torrecilla de la Torre,2021-02-03,0,9,1.00,725.42,0.00,1.00
47169,Torre de Esgueva,2021-02-03,14,33,0.58,1847.41,436.18,0.76
47170,Torre de Peñafiel,2021-02-03,7,23,0.70,2716.86,387.69,0.86
47171,Torrelobatón,2021-02-03,0,53,1.00,7165.59,0.00,1.00
47172,Torrescárcela,2021-02-03,2,21,0.90,1874.33,68.77,0.96
