id,ES-CU,ES-CM,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
16095,ES-CU,ES-CM,Graja de Campalbo,2021-02-13,4,9,0.56,549.82,1426.85,0.61
16096,ES-CU,ES-CM,Graja de Iniesta,2021-02-13,7,33,0.79,975.90,4310.35,0.77
16097,ES-CU,ES-CM,Henarejos,2021-02-13,6,37,0.84,177.23,3323.54,0.95
16098,ES-CU,ES-CM,El Herrumblar,2021-02-13,5,101,0.95,453.93,11539.03,0.96
16099,ES-CU,ES-CM,La Hinojosa,2021-02-13,8,26,0.69,715.16,4189.72,0.83
16100,ES-CU,ES-CM,Los Hinojosos,2021-02-13,11,86,0.87,525.67,11763.63,0.96
16101,ES-CU,ES-CM,El Hito,2021-02-13,2,35,0.94,438.05,4403.52,0.90
16102,ES-CU,ES-CM,Honrubia,2021-02-13,15,62,0.76,1059.68,9647.18,0.89
16103,ES-CU,ES-CM,Hontanaya,2021-02-13,19,59,0.68,1644.09,7023.48,0.77
16104,ES-CU,ES-CM,Hontecillas,2021-02-13,6,22,0.73,1105.45,3987.74,0.72
16106,ES-CU,ES-CM,Horcajo de Santiago,2021-02-13,34,222,0.85,3607.10,35100.13,0.90
16107,ES-CU,ES-CM,Huélamo,2021-02-13,6,18,0.67,1056.13,2758.61,0.62
16108,ES-CU,ES-CM,Huelves,2021-02-13,6,32,0.81,592.91,3417.07,0.83
16109,ES-CU,ES-CM,Huérguina,2021-02-13,9,22,0.59,781.18,1855.36,0.58
16110,ES-CU,ES-CM,Huerta de la Obispalía,2021-02-13,0,24,1.00,0.00,2627.92,1.00
16111,ES-CU,ES-CM,Huerta del Marquesado,2021-02-13,4,38,0.89,152.16,3500.62,0.96
16112,ES-CU,ES-CM,Huete,2021-02-13,26,280,0.91,1988.77,28708.83,0.93
16113,ES-CU,ES-CM,Iniesta,2021-02-13,81,251,0.68,7184.21,31912.54,0.77
16115,ES-CU,ES-CM,Laguna del Marquesado,2021-02-13,4,22,0.82,253.22,1881.86,0.87
16116,ES-CU,ES-CM,Lagunaseca,2021-02-13,1,11,0.91,289.22,1675.46,0.83
16117,ES-CU,ES-CM,Landete,2021-02-13,2,139,0.99,103.38,13772.82,0.99
16118,ES-CU,ES-CM,Ledaña,2021-02-13,2,106,0.98,236.89,15724.90,0.98
16119,ES-CU,ES-CM,Leganiel,2021-02-13,0,53,1.00,0.00,5360.19,1.00
16121,ES-CU,ES-CM,Las Majadas,2021-02-13,23,42,0.45,1845.85,4805.03,0.62
16122,ES-CU,ES-CM,Mariana,2021-02-13,4,21,0.81,313.94,2548.28,0.88
16123,ES-CU,ES-CM,Masegosa,2021-02-13,11,33,0.67,1554.37,3207.11,0.52
16124,ES-CU,ES-CM,Las Mesas,2021-02-13,13,139,0.91,1948.04,22026.80,0.91
16125,ES-CU,ES-CM,Minglanilla,2021-02-13,78,191,0.59,5040.81,17312.28,0.71
16126,ES-CU,ES-CM,Mira,2021-02-13,9,80,0.89,187.96,7514.20,0.97
16128,ES-CU,ES-CM,Monreal del Llano,2021-02-13,4,16,0.75,525.42,2096.46,0.75
16129,ES-CU,ES-CM,Montalbanejo,2021-02-13,5,36,0.86,577.84,4259.13,0.86
16130,ES-CU,ES-CM,Montalbo,2021-02-13,7,113,0.94,1691.54,16922.97,0.90
16131,ES-CU,ES-CM,Monteagudo de las Salinas,2021-02-13,1,17,0.94,10.64,1419.31,0.99
16132,ES-CU,ES-CM,Mota de Altarejos,2021-02-13,0,18,1.00,0.00,2403.56,1.00
16133,ES-CU,ES-CM,Mota del Cuervo,2021-02-13,41,281,0.85,3195.78,51920.41,0.94
16134,ES-CU,ES-CM,Motilla del Palancar,2021-02-13,24,199,0.88,3352.93,34710.26,0.90
16135,ES-CU,ES-CM,Moya,2021-02-13,4,54,0.93,179.97,5458.55,0.97
16137,ES-CU,ES-CM,Narboneta,2021-02-13,9,24,0.63,383.02,2418.86,0.84
16139,ES-CU,ES-CM,Olivares de Júcar,2021-02-13,9,40,0.78,692.11,6041.08,0.89
16140,ES-CU,ES-CM,Olmeda de la Cuesta,2021-02-13,2,12,0.83,353.43,1905.54,0.81
16141,ES-CU,ES-CM,Olmeda del Rey,2021-02-13,5,32,0.84,237.93,5207.13,0.95
16142,ES-CU,ES-CM,Olmedilla de Alarcón,2021-02-13,3,20,0.85,408.53,2823.80,0.86
16143,ES-CU,ES-CM,Olmedilla de Eliz,2021-02-13,0,14,1.00,0.00,1319.20,1.00
16145,ES-CU,ES-CM,Osa de la Vega,2021-02-13,7,52,0.87,484.89,9649.12,0.95
16146,ES-CU,ES-CM,Pajarón,2021-02-13,11,43,0.74,316.04,3040.78,0.90
16147,ES-CU,ES-CM,Pajaroncillo,2021-02-13,6,19,0.68,370.87,1726.46,0.79
16148,ES-CU,ES-CM,Palomares del Campo,2021-02-13,14,55,0.75,1360.42,8608.60,0.84
16149,ES-CU,ES-CM,Palomera,2021-02-13,3,22,0.86,267.93,1865.40,0.86
16150,ES-CU,ES-CM,Paracuellos,2021-02-13,7,17,0.59,869.66,3069.60,0.72
16151,ES-CU,ES-CM,Paredes,2021-02-13,1,24,0.96,175.65,2141.15,0.92
16152,ES-CU,ES-CM,La Parra de las Vegas,2021-02-13,0,23,1.00,0.00,3043.60,1.00
16153,ES-CU,ES-CM,El Pedernoso,2021-02-13,20,87,0.77,2024.80,17088.89,0.88
16154,ES-CU,ES-CM,Las Pedroñeras,2021-02-13,28,271,0.90,3439.59,58792.34,0.94
16155,ES-CU,ES-CM,El Peral,2021-02-13,2,53,0.96,153.54,8435.98,0.98
16156,ES-CU,ES-CM,La Peraleja,2021-02-13,1,53,0.98,102.61,4982.32,0.98
16157,ES-CU,ES-CM,La Pesquera,2021-02-13,22,38,0.42,1764.16,4462.45,0.60
16158,ES-CU,ES-CM,El Picazo,2021-02-13,24,143,0.83,3078.48,16498.13,0.81
16159,ES-CU,ES-CM,Pinarejo,2021-02-13,13,44,0.70,1861.24,5397.63,0.66
16160,ES-CU,ES-CM,Pineda de Gigüela,2021-02-13,9,39,0.77,971.07,3879.83,0.75
16161,ES-CU,ES-CM,Piqueras del Castillo,2021-02-13,1,22,0.95,5.56,2241.24,1.00
16162,ES-CU,ES-CM,Portalrubio de Guadamejud,2021-02-13,0,19,1.00,0.00,2584.03,1.00
16163,ES-CU,ES-CM,Portilla,2021-02-13,4,40,0.90,231.86,2668.50,0.91
16165,ES-CU,ES-CM,Poyatos,2021-02-13,1,19,0.95,132.64,1826.83,0.93
16166,ES-CU,ES-CM,Pozoamargo,2021-02-13,3,26,0.88,157.69,4088.95,0.96
16167,ES-CU,ES-CM,Pozorrubio,2021-02-13,7,42,0.83,735.96,6342.85,0.88
16169,ES-CU,ES-CM,El Pozuelo,2021-02-13,1,34,0.97,226.94,2456.02,0.91
16170,ES-CU,ES-CM,Priego,2021-02-13,15,85,0.82,757.40,8171.89,0.91
16171,ES-CU,ES-CM,El Provencio,2021-02-13,5,153,0.97,544.04,22393.01,0.98
16172,ES-CU,ES-CM,Puebla de Almenara,2021-02-13,11,36,0.69,1450.98,7045.41,0.79
16173,ES-CU,ES-CM,El Valle de Altomira,2021-02-13,2,133,0.98,397.60,12807.85,0.97
16174,ES-CU,ES-CM,Puebla del Salvador,2021-02-13,7,27,0.74,679.74,3182.06,0.79
16175,ES-CU,ES-CM,Quintanar del Rey,2021-02-13,39,174,0.78,7023.90,38169.10,0.82
16176,ES-CU,ES-CM,Rada de Haro,2021-02-13,4,15,0.73,427.11,1931.56,0.78
16177,ES-CU,ES-CM,Reíllo,2021-02-13,12,51,0.76,666.89,4279.85,0.84
16181,ES-CU,ES-CM,Rozalén del Monte,2021-02-13,9,24,0.63,695.08,2158.79,0.68
16185,ES-CU,ES-CM,Saceda-Trasierra,2021-02-13,5,21,0.76,328.48,2776.97,0.88
16186,ES-CU,ES-CM,Saelices,2021-02-13,18,60,0.70,1635.53,8282.87,0.80
16187,ES-CU,ES-CM,Salinas del Manzano,2021-02-13,14,34,0.59,744.36,2985.72,0.75
16188,ES-CU,ES-CM,Salmeroncillos,2021-02-13,3,23,0.87,96.86,1843.50,0.95
16189,ES-CU,ES-CM,Salvacañete,2021-02-13,14,27,0.48,1643.98,3744.17,0.56
16190,ES-CU,ES-CM,San Clemente,2021-02-13,55,262,0.79,6997.29,48425.77,0.86
16191,ES-CU,ES-CM,San Lorenzo de la Parrilla,2021-02-13,10,91,0.89,1333.49,13526.96,0.90
16192,ES-CU,ES-CM,San Martín de Boniches,2021-02-13,2,12,0.83,67.42,1513.67,0.96
16193,ES-CU,ES-CM,San Pedro Palmiches,2021-02-13,9,32,0.72,550.84,3347.44,0.84
16194,ES-CU,ES-CM,Santa Cruz de Moya,2021-02-13,15,39,0.62,847.76,3872.66,0.78
16195,ES-CU,ES-CM,Santa María del Campo Rus,2021-02-13,2,77,0.97,130.69,13317.39,0.99
16196,ES-CU,ES-CM,Santa María de los Llanos,2021-02-13,21,94,0.78,2178.75,16266.74,0.87
16197,ES-CU,ES-CM,Santa María del Val,2021-02-13,0,9,1.00,0.00,1216.43,1.00
16198,ES-CU,ES-CM,Sisante,2021-02-13,14,148,0.91,3850.38,24084.95,0.84
16199,ES-CU,ES-CM,Solera de Gabaldón,2021-02-13,0,11,1.00,0.00,1128.59,1.00
16202,ES-CU,ES-CM,Talayuelas,2021-02-13,8,155,0.95,687.19,17169.73,0.96
16203,ES-CU,ES-CM,Tarancón,2021-02-13,64,486,0.87,15133.38,82444.98,0.82
16204,ES-CU,ES-CM,Tébar,2021-02-13,7,34,0.79,407.47,5198.24,0.92
16205,ES-CU,ES-CM,Tejadillos,2021-02-13,6,23,0.74,446.86,2441.04,0.82
16206,ES-CU,ES-CM,Tinajas,2021-02-13,0,44,1.00,0.00,5152.82,1.00
16209,ES-CU,ES-CM,Torralba,2021-02-13,5,21,0.76,668.23,2922.58,0.77
16211,ES-CU,ES-CM,Torrejoncillo del Rey,2021-02-13,4,185,0.98,281.41,16738.48,0.98
16212,ES-CU,ES-CM,Torrubia del Campo,2021-02-13,8,51,0.84,762.79,6380.36,0.88
16213,ES-CU,ES-CM,Torrubia del Castillo,2021-02-13,1,13,0.92,43.34,1431.51,0.97
16215,ES-CU,ES-CM,Tragacete,2021-02-13,3,57,0.95,95.03,4771.97,0.98
16216,ES-CU,ES-CM,Tresjuncos,2021-02-13,6,67,0.91,532.26,8765.92,0.94
16217,ES-CU,ES-CM,Tribaldos,2021-02-13,6,34,0.82,543.69,4428.23,0.88
16218,ES-CU,ES-CM,Uclés,2021-02-13,15,49,0.69,1699.68,6035.40,0.72
16219,ES-CU,ES-CM,Uña,2021-02-13,4,24,0.83,269.32,2274.77,0.88
16224,ES-CU,ES-CM,Valdemeca,2021-02-13,12,25,0.52,803.31,1783.55,0.55
16225,ES-CU,ES-CM,Valdemorillo de la Sierra,2021-02-13,3,15,0.80,380.47,1872.44,0.80
16227,ES-CU,ES-CM,Valdemoro-Sierra,2021-02-13,5,27,0.81,424.65,2840.79,0.85
16228,ES-CU,ES-CM,Valdeolivas,2021-02-13,8,31,0.74,504.14,4207.86,0.88
16231,ES-CU,ES-CM,Valhermoso de la Fuente,2021-02-13,4,24,0.83,231.23,2521.96,0.91
16234,ES-CU,ES-CM,Valsalobre,2021-02-13,0,15,1.00,0.00,1279.95,1.00
16236,ES-CU,ES-CM,Valverde de Júcar,2021-02-13,12,112,0.89,695.69,15521.53,0.96
16237,ES-CU,ES-CM,Valverdejo,2021-02-13,3,29,0.90,227.48,3400.47,0.93
16238,ES-CU,ES-CM,Vara de Rey,2021-02-13,21,93,0.77,3244.54,13369.27,0.76
16239,ES-CU,ES-CM,Vega del Codorno,2021-02-13,13,40,0.68,1468.31,4677.34,0.69
16240,ES-CU,ES-CM,Vellisca,2021-02-13,4,57,0.93,168.60,5383.99,0.97
16242,ES-CU,ES-CM,Villaconejos de Trabaque,2021-02-13,7,60,0.88,706.88,6977.16,0.90
16243,ES-CU,ES-CM,Villaescusa de Haro,2021-02-13,4,78,0.95,303.34,11283.41,0.97
16244,ES-CU,ES-CM,Villagarcía del Llano,2021-02-13,5,63,0.92,811.79,9842.42,0.92
16245,ES-CU,ES-CM,Villalba de la Sierra,2021-02-13,8,89,0.91,296.65,10484.30,0.97
16246,ES-CU,ES-CM,Villalba del Rey,2021-02-13,10,88,0.89,557.85,8276.70,0.93
16247,ES-CU,ES-CM,Villalgordo del Marquesado,2021-02-13,4,44,0.91,212.95,3024.25,0.93
16248,ES-CU,ES-CM,Villalpardo,2021-02-13,13,71,0.82,1250.97,9673.72,0.87
16249,ES-CU,ES-CM,Villamayor de Santiago,2021-02-13,50,175,0.71,4537.70,25553.55,0.82
16250,ES-CU,ES-CM,Villanueva de Guadamejud,2021-02-13,0,36,1.00,0.00,4391.89,1.00
16251,ES-CU,ES-CM,Villanueva de la Jara,2021-02-13,17,120,0.86,2241.99,17990.83,0.88
16253,ES-CU,ES-CM,Villar de Cañas,2021-02-13,11,106,0.90,3433.81,45394.88,0.92
16254,ES-CU,ES-CM,Villar de Domingo García,2021-02-13,8,40,0.80,532.35,4484.21,0.88
16255,ES-CU,ES-CM,Villar de la Encina,2021-02-13,9,34,0.74,837.87,3279.50,0.74
16258,ES-CU,ES-CM,Villar del Humo,2021-02-13,2,37,0.95,240.83,4924.66,0.95
16259,ES-CU,ES-CM,Villar del Infantado,2021-02-13,1,24,0.96,69.71,2112.75,0.97
16263,ES-CU,ES-CM,Villar de Olalla,2021-02-13,33,125,0.74,4449.43,18518.04,0.76
16264,ES-CU,ES-CM,Villarejo de Fuentes,2021-02-13,9,74,0.88,506.68,8116.60,0.94
16265,ES-CU,ES-CM,Villarejo de la Peñuela,2021-02-13,1,17,0.94,20.96,1169.61,0.98
16266,ES-CU,ES-CM,Villarejo-Periesteban,2021-02-13,1,50,0.98,85.86,6172.42,0.99
16269,ES-CU,ES-CM,Villares del Saz,2021-02-13,5,74,0.93,350.47,11011.27,0.97
16270,ES-CU,ES-CM,Villarrubio,2021-02-13,10,41,0.76,824.21,4538.74,0.82
16271,ES-CU,ES-CM,Villarta,2021-02-13,31,54,0.43,3713.79,8767.67,0.58
16272,ES-CU,ES-CM,Villas de la Ventosa,2021-02-13,10,93,0.89,644.92,10457.18,0.94
16273,ES-CU,ES-CM,Villaverde y Pasaconsol,2021-02-13,7,42,0.83,1480.42,6206.19,0.76
16274,ES-CU,ES-CM,Víllora,2021-02-13,4,29,0.86,171.85,3296.07,0.95
16275,ES-CU,ES-CM,Vindel,2021-02-13,2,18,0.89,71.85,887.76,0.92
16276,ES-CU,ES-CM,Yémeda,2021-02-13,0,11,1.00,0.00,1128.94,1.00
16277,ES-CU,ES-CM,Zafra de Záncara,2021-02-13,5,60,0.92,114.52,5507.72,0.98
16278,ES-CU,ES-CM,Zafrilla,2021-02-13,0,17,1.00,0.00,1458.31,1.00
16279,ES-CU,ES-CM,Zarza de Tajo,2021-02-13,7,41,0.83,1046.21,9068.25,0.88
16280,ES-CU,ES-CM,Zarzuela,2021-02-13,4,60,0.93,239.68,7073.63,0.97
16901,ES-CU,ES-CM,Campos del Paraíso,2021-02-13,6,169,0.96,1045.89,18975.90,0.94
16902,ES-CU,ES-CM,Valdetórtola,2021-02-13,11,31,0.65,866.44,3363.65,0.74
16903,ES-CU,ES-CM,Las Valeras,2021-02-13,15,91,0.84,957.28,14174.70,0.93
16904,ES-CU,ES-CM,Fuentenava de Jábaga,2021-02-13,13,125,0.90,1671.08,11837.94,0.86
16905,ES-CU,ES-CM,Arcas del Villar,2021-02-13,30,139,0.78,2873.33,24184.86,0.88
16906,ES-CU,ES-CM,Los Valdecolmenas,2021-02-13,0,40,1.00,0.00,3532.37,1.00
16908,ES-CU,ES-CM,Pozorrubielos de la Mancha,2021-02-13,15,50,0.70,1798.37,7328.92,0.75
16909,ES-CU,ES-CM,Sotorribas,2021-02-13,15,175,0.91,451.82,16195.77,0.97
16910,ES-CU,ES-CM,Villar y Velasco,2021-02-13,0,57,1.00,0.00,4464.71,1.00
