id,ES-TE,ES-AR,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
44118,ES-TE,ES-AR,La Ginebrosa,2021-02-13,23,38,0.39,1219.57,2967.97,0.59
44119,ES-TE,ES-AR,Griegos,2021-02-13,4,31,0.87,140.63,2903.51,0.95
44120,ES-TE,ES-AR,Guadalaviar,2021-02-13,33,89,0.63,1176.62,4981.91,0.76
44121,ES-TE,ES-AR,Gúdar,2021-02-13,15,45,0.67,689.73,2786.52,0.75
44122,ES-TE,ES-AR,Híjar,2021-02-13,17,88,0.81,1915.12,10505.13,0.82
44123,ES-TE,ES-AR,Hinojosa de Jarque,2021-02-13,18,31,0.42,2044.43,3685.77,0.45
44124,ES-TE,ES-AR,La Hoz de la Vieja,2021-02-13,5,26,0.81,176.30,2856.11,0.94
44125,ES-TE,ES-AR,Huesa del Común,2021-02-13,3,22,0.86,63.46,2354.96,0.97
44126,ES-TE,ES-AR,La Iglesuela del Cid,2021-02-13,17,56,0.70,1361.99,6025.03,0.77
44127,ES-TE,ES-AR,Jabaloyas,2021-02-13,12,46,0.74,776.44,3853.77,0.80
44128,ES-TE,ES-AR,Jarque de la Val,2021-02-13,10,21,0.52,800.75,2550.60,0.69
44129,ES-TE,ES-AR,Jatiel,2021-02-13,3,16,0.81,203.26,1491.30,0.86
44130,ES-TE,ES-AR,Jorcas,2021-02-13,3,14,0.79,730.70,1903.91,0.62
44131,ES-TE,ES-AR,Josa,2021-02-13,0,23,1.00,0.00,1379.89,1.00
44132,ES-TE,ES-AR,Lagueruela,2021-02-13,3,19,0.84,136.49,1937.54,0.93
44133,ES-TE,ES-AR,Lanzuela,2021-02-13,0,9,1.00,0.00,1000.46,1.00
44135,ES-TE,ES-AR,Libros,2021-02-13,6,21,0.71,93.45,1464.94,0.94
44136,ES-TE,ES-AR,Lidón,2021-02-13,8,22,0.64,435.91,2331.23,0.81
44137,ES-TE,ES-AR,Linares de Mora,2021-02-13,30,61,0.51,1424.34,4655.09,0.69
44138,ES-TE,ES-AR,Loscos,2021-02-13,9,40,0.78,696.06,3230.67,0.78
44141,ES-TE,ES-AR,Lledó / Lledó d'Algars,2021-02-13,0,22,1.00,0.00,1504.49,1.00
44142,ES-TE,ES-AR,Maicas,2021-02-13,3,13,0.77,250.31,859.79,0.71
44143,ES-TE,ES-AR,Manzanera,2021-02-13,22,174,0.87,1753.36,13069.09,0.87
44144,ES-TE,ES-AR,Martín del Río,2021-02-13,6,36,0.83,525.19,4260.89,0.88
44145,ES-TE,ES-AR,Mas de las Matas,2021-02-13,34,84,0.60,4319.74,10869.70,0.60
44146,ES-TE,ES-AR,La Mata de los Olmos,2021-02-13,11,26,0.58,760.55,2134.28,0.64
44147,ES-TE,ES-AR,Mazaleón / Massalió,2021-02-13,16,52,0.69,1403.86,6519.10,0.78
44148,ES-TE,ES-AR,Mezquita de Jarque,2021-02-13,0,21,1.00,0.00,2655.95,1.00
44149,ES-TE,ES-AR,Mirambel,2021-02-13,11,17,0.35,999.46,1689.31,0.41
44150,ES-TE,ES-AR,Miravete de la Sierra,2021-02-13,3,17,0.82,369.19,1479.58,0.75
