id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
05138,Muñogalindo,2021-02-13,0,108,1.00,9908.68,0.00,1.00
05139,Muñogrande,2021-02-13,0,37,1.00,3576.41,0.00,1.00
05140,Muñomer del Peco,2021-02-13,1,14,0.93,1967.22,129.02,0.93
05141,Muñopepe,2021-02-13,4,15,0.73,1299.87,467.23,0.64
05142,Muñosancho,2021-02-13,0,31,1.00,3583.37,0.00,1.00
05143,Muñotello,2021-02-13,13,27,0.52,3388.10,727.21,0.79
05144,Narrillos del Álamo,2021-02-13,2,32,0.94,3547.58,122.52,0.97
05145,Narrillos del Rebollar,2021-02-13,0,27,1.00,2828.07,0.00,1.00
05147,Narros del Castillo,2021-02-13,0,28,1.00,3313.74,0.00,1.00
05148,Narros del Puerto,2021-02-13,0,40,1.00,4338.04,0.00,1.00
05149,Narros de Saldueña,2021-02-13,1,24,0.96,2463.62,70.82,0.97
05151,Navacepedilla de Corneja,2021-02-13,0,24,1.00,2752.72,0.00,1.00
05152,Nava de Arévalo,2021-02-13,0,109,1.00,12913.01,0.00,1.00
05153,Nava del Barco,2021-02-13,19,26,0.27,3213.21,1472.94,0.54
05154,Navadijos,2021-02-13,15,31,0.52,3233.83,1087.14,0.66
05155,Navaescurial,2021-02-13,5,12,0.58,1290.41,633.09,0.51
05156,Navahondilla,2021-02-13,45,58,0.22,13878.61,11168.16,0.20
05157,Navalacruz,2021-02-13,0,67,1.00,5654.25,0.00,1.00
05158,Navalmoral,2021-02-13,36,54,0.33,7639.95,5839.69,0.24
05159,Navalonguilla,2021-02-13,2,22,0.91,3191.22,165.51,0.95
05160,Navalosa,2021-02-13,40,64,0.38,6286.06,3688.65,0.41
05161,Navalperal de Pinares,2021-02-13,70,159,0.56,20200.23,7578.58,0.62
05162,Navalperal de Tormes,2021-02-13,17,37,0.54,3344.01,1355.31,0.59
05163,Navaluenga,2021-02-13,121,154,0.21,25211.42,18303.42,0.27
05164,Navaquesera,2021-02-13,9,43,0.79,2929.77,448.46,0.85
05165,Navarredonda de Gredos,2021-02-13,1,101,0.99,13302.91,84.59,0.99
05166,Navarredondilla,2021-02-13,26,60,0.57,6927.17,2197.13,0.68
05167,Navarrevisca,2021-02-13,31,64,0.52,5630.92,2179.46,0.61
05168,Las Navas del Marqués,2021-02-13,50,383,0.87,79562.68,17182.45,0.78
05169,Navatalgordo,2021-02-13,61,84,0.27,7846.27,4866.75,0.38
05170,Navatejares,2021-02-13,9,24,0.63,1867.47,483.70,0.74
05171,Neila de San Miguel,2021-02-13,0,25,1.00,2608.34,0.00,1.00
05172,Niharra,2021-02-13,0,25,1.00,2967.77,0.00,1.00
05173,Ojos-Albos,2021-02-13,10,30,0.67,3264.46,763.99,0.77
05174,Orbita,2021-02-13,0,17,1.00,2092.53,0.00,1.00
05175,El Oso,2021-02-13,0,26,1.00,3787.63,0.00,1.00
05176,Padiernos,2021-02-13,0,92,1.00,8936.64,0.00,1.00
05177,Pajares de Adaja,2021-02-13,6,27,0.78,3849.84,961.50,0.75
05178,Palacios de Goda,2021-02-13,4,52,0.92,7182.82,382.17,0.95
05179,Papatrigo,2021-02-13,0,40,1.00,4732.47,0.00,1.00
05180,El Parral,2021-02-13,1,23,0.96,2544.52,40.85,0.98
05181,Pascualcobo,2021-02-13,0,31,1.00,3113.67,0.00,1.00
05182,Pedro Bernardo,2021-02-13,30,146,0.79,12121.31,1973.57,0.84
05183,Pedro-Rodríguez,2021-02-13,1,29,0.97,3136.35,79.75,0.97
05184,Peguerinos,2021-02-13,23,92,0.75,15562.25,6782.50,0.56
05185,Peñalba de Ávila,2021-02-13,0,32,1.00,5773.35,0.00,1.00
05186,Piedrahíta,2021-02-13,4,157,0.97,19203.57,681.61,0.96
05187,Piedralaves,2021-02-13,64,115,0.44,18318.89,9775.10,0.47
05188,Poveda,2021-02-13,1,17,0.94,1643.29,38.99,0.98
05189,Poyales del Hoyo,2021-02-13,10,69,0.86,5598.90,316.06,0.94
05190,Pozanco,2021-02-13,0,19,1.00,1876.40,0.00,1.00
05191,Pradosegar,2021-02-13,6,19,0.68,2566.94,626.56,0.76
05192,Puerto Castilla,2021-02-13,4,32,0.88,3607.37,299.04,0.92
05193,Rasueros,2021-02-13,12,40,0.70,4648.63,848.96,0.82
05194,Riocabado,2021-02-13,7,35,0.80,5500.86,735.84,0.87
05195,Riofrío,2021-02-13,9,61,0.85,5687.22,757.49,0.87
05196,Rivilla de Barajas,2021-02-13,0,24,1.00,1831.67,0.00,1.00
05197,Salobral,2021-02-13,0,26,1.00,2282.81,0.00,1.00
05198,Salvadiós,2021-02-13,2,28,0.93,2903.58,83.38,0.97
05199,San Bartolomé de Béjar,2021-02-13,0,16,1.00,2044.41,0.00,1.00
05200,San Bartolomé de Corneja,2021-02-13,0,22,1.00,2726.13,0.00,1.00
05201,San Bartolomé de Pinares,2021-02-13,31,128,0.76,9613.14,1398.59,0.85
05204,Sanchidrián,2021-02-13,7,98,0.93,15226.47,577.46,0.96
05205,Sanchorreja,2021-02-13,1,28,0.96,2138.16,43.53,0.98
05206,San Esteban de los Patos,2021-02-13,0,29,1.00,2073.86,0.00,1.00
05207,San Esteban del Valle,2021-02-13,9,88,0.90,6758.82,566.11,0.92
05208,San Esteban de Zapardiel,2021-02-13,5,15,0.67,2127.88,740.28,0.65
05209,San García de Ingelmos,2021-02-13,0,28,1.00,2963.75,0.00,1.00
05210,San Juan de la Encinilla,2021-02-13,0,21,1.00,2651.89,0.00,1.00
05211,San Juan de la Nava,2021-02-13,42,79,0.47,8268.29,4295.10,0.48
05212,San Juan del Molinillo,2021-02-13,26,71,0.63,5045.31,1390.34,0.72
05213,San Juan del Olmo,2021-02-13,0,43,1.00,5634.48,0.00,1.00
05214,San Lorenzo de Tormes,2021-02-13,5,22,0.77,2332.26,935.80,0.60
05215,San Martín de la Vega del Alberche,2021-02-13,8,43,0.81,6029.85,635.54,0.89
05216,San Martín del Pimpollar,2021-02-13,28,63,0.56,6254.03,2044.44,0.67
05217,San Miguel de Corneja,2021-02-13,0,21,1.00,2197.26,0.00,1.00
05218,San Miguel de Serrezuela,2021-02-13,0,36,1.00,5153.96,0.00,1.00
05219,San Pascual,2021-02-13,0,20,1.00,2537.25,0.00,1.00
05220,San Pedro del Arroyo,2021-02-13,2,64,0.97,10043.10,325.69,0.97
05221,Santa Cruz del Valle,2021-02-13,0,69,1.00,5917.71,0.00,1.00
05222,Santa Cruz de Pinares,2021-02-13,26,47,0.45,5729.91,2573.32,0.55
05224,Santa María del Arroyo,2021-02-13,9,35,0.74,3508.83,446.98,0.87
05225,Santa María del Berrocal,2021-02-13,0,75,1.00,8035.88,0.00,1.00
05226,Santa María de los Caballeros,2021-02-13,5,45,0.89,3879.32,462.00,0.88
05227,Santa María del Tiétar,2021-02-13,58,84,0.31,12632.93,8914.31,0.29
05228,Santiago del Collado,2021-02-13,5,37,0.86,3642.94,201.09,0.94
05229,Santo Domingo de las Posadas,2021-02-13,6,23,0.74,2394.30,538.12,0.78
05230,Santo Tomé de Zabarcos,2021-02-13,0,24,1.00,2952.57,0.00,1.00
05231,San Vicente de Arévalo,2021-02-13,0,34,1.00,4632.92,0.00,1.00
05232,La Serrada,2021-02-13,1,30,0.97,3131.89,46.53,0.99
05233,Serranillos,2021-02-13,23,39,0.41,4181.35,2290.37,0.45
05234,Sigeres,2021-02-13,0,23,1.00,2085.09,0.00,1.00
05235,Sinlabajos,2021-02-13,0,15,1.00,3156.66,0.00,1.00
05236,Solana de Ávila,2021-02-13,12,62,0.81,5303.28,665.12,0.87
05237,Solana de Rioalmar,2021-02-13,0,56,1.00,7051.45,0.00,1.00
05238,Solosancho,2021-02-13,50,226,0.78,21548.75,3170.91,0.85
05239,Sotalbo,2021-02-13,37,53,0.30,6263.48,3799.98,0.39
05240,Sotillo de la Adrada,2021-02-13,20,270,0.93,43066.69,2941.50,0.93
05241,El Tiemblo,2021-02-13,91,276,0.67,52941.97,11042.94,0.79
05242,Tiñosillos,2021-02-13,20,61,0.67,8019.69,1490.37,0.81
05243,Tolbaños,2021-02-13,26,65,0.60,6161.37,2559.70,0.58
05244,Tormellas,2021-02-13,0,19,1.00,1575.13,0.00,1.00
05245,Tornadizos de Ávila,2021-02-13,19,57,0.67,5826.38,1734.93,0.70
05246,Tórtoles,2021-02-13,0,29,1.00,3431.77,0.00,1.00
05247,La Torre,2021-02-13,22,136,0.84,11587.28,1574.74,0.86
05249,Umbrías,2021-02-13,0,39,1.00,3106.85,0.00,1.00
05251,Vadillo de la Sierra,2021-02-13,14,66,0.79,7245.47,949.61,0.87
05252,Valdecasa,2021-02-13,0,26,1.00,2726.00,0.00,1.00
05253,Vega de Santa María,2021-02-13,8,28,0.71,2656.26,482.57,0.82
05254,Velayos,2021-02-13,0,45,1.00,4959.41,0.00,1.00
05256,Villaflor,2021-02-13,0,15,1.00,2785.87,0.00,1.00
05257,Villafranca de la Sierra,2021-02-13,2,27,0.93,2482.19,405.14,0.84
05258,Villanueva de Gómez,2021-02-13,0,39,1.00,3759.19,0.00,1.00
05259,Villanueva del Aceral,2021-02-13,0,18,1.00,3008.45,0.00,1.00
