id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
11033,San Roque,2020-01-01,463,1035,0.55,82550.47,204315.44,0.60
11034,Setenil de las Bodegas,2020-01-01,36,97,0.63,3957.92,13494.97,0.71
11035,Tarifa,2020-01-01,517,803,0.36,88170.03,127770.60,0.31
11036,Torre Alháquime,2020-01-01,27,27,0.00,4367.45,4367.45,0.00
11037,Trebujena,2020-01-01,131,161,0.19,24420.44,30539.11,0.20
11038,Ubrique,2020-01-01,160,353,0.55,19764.99,39907.32,0.50
11039,Vejer de la Frontera,2020-01-01,309,419,0.26,54759.03,75598.55,0.28
11040,Villaluenga del Rosario,2020-01-01,15,15,0.00,3024.50,3024.50,0.00
11041,Villamartín,2020-01-01,82,295,0.72,11365.19,51999.71,0.78
11042,Zahara,2020-01-01,19,63,0.70,2297.19,7678.18,0.70
11901,Benalup-Casas Viejas,2020-01-01,84,191,0.56,11121.31,30598.97,0.64
11902,San José del Valle,2020-01-01,24,138,0.83,4294.18,20182.92,0.79
14001,Adamuz,2020-01-01,15,134,0.89,1018.79,17592.78,0.94
14002,Aguilar de la Frontera,2020-01-01,66,126,0.48,13371.04,28156.08,0.53
14003,Alcaracejos,2020-01-01,9,71,0.87,1972.44,11096.93,0.82
14004,Almedinilla,2020-01-01,14,81,0.83,1153.45,10548.08,0.89
14005,Almodóvar del Río,2020-01-01,76,240,0.68,28750.82,48561.54,0.41
14006,Añora,2020-01-01,6,46,0.87,987.77,9745.48,0.90
14007,Baena,2020-01-01,97,327,0.70,16303.71,47501.33,0.66
14008,Belalcázar,2020-01-01,22,110,0.80,3779.70,20813.73,0.82
14009,Belmez,2020-01-01,36,78,0.54,7259.87,17219.68,0.58
14010,Benamejí,2020-01-01,11,94,0.88,1263.31,16648.80,0.92
14011,Los Blázquez,2020-01-01,2,34,0.94,91.40,4574.52,0.98
14012,Bujalance,2020-01-01,46,226,0.80,6490.59,27463.47,0.76
14013,Cabra,2020-01-01,123,289,0.57,15445.76,46736.47,0.67
14014,Cañete de las Torres,2020-01-01,16,96,0.83,1942.55,13038.50,0.85
14015,Carcabuey,2020-01-01,8,67,0.88,1199.10,9937.96,0.88
14016,Cardeña,2020-01-01,23,63,0.63,3673.43,9564.34,0.62
14017,La Carlota,2020-01-01,148,434,0.66,36440.07,85182.40,0.57
14018,El Carpio,2020-01-01,22,163,0.87,2073.72,22089.93,0.91
14019,Castro del Río,2020-01-01,17,180,0.91,2169.65,24485.74,0.91
14020,Conquista,2020-01-01,4,19,0.79,1099.55,3348.24,0.67
14021,Córdoba,2020-01-01,1844,4540,0.59,352485.75,858323.92,0.59
14022,Doña Mencía,2020-01-01,16,158,0.90,1360.01,17428.69,0.92
14023,Dos Torres,2020-01-01,28,109,0.74,4770.34,18432.87,0.74
14024,Encinas Reales,2020-01-01,8,81,0.90,559.27,11754.82,0.95
14025,Espejo,2020-01-01,26,128,0.80,1644.41,16693.60,0.90
14026,Espiel,2020-01-01,26,104,0.75,5981.66,14838.29,0.60
14027,Fernán-Núñez,2020-01-01,23,196,0.88,3875.07,33523.95,0.88
14028,Fuente la Lancha,2020-01-01,2,23,0.91,864.07,4018.56,0.78
14029,Fuente Obejuna,2020-01-01,145,290,0.50,15176.08,41461.28,0.63
14030,Fuente Palmera,2020-01-01,172,356,0.52,24730.25,55425.67,0.55
14031,Fuente-Tójar,2020-01-01,0,30,1.00,0.00,3056.97,1.00
14032,La Granjuela,2020-01-01,7,33,0.79,513.16,4132.83,0.88
14033,Guadalcázar,2020-01-01,6,69,0.91,116.71,7953.01,0.99
14034,El Guijo,2020-01-01,3,21,0.86,274.99,3123.98,0.91
14035,Hinojosa del Duque,2020-01-01,17,159,0.89,4186.83,32753.78,0.87
14036,Hornachuelos,2020-01-01,44,262,0.83,6631.62,36798.08,0.82
14037,Iznájar,2020-01-01,28,133,0.79,3466.81,15335.45,0.77
14038,Lucena,2020-01-01,142,774,0.82,35266.68,147461.68,0.76
14039,Luque,2020-01-01,21,79,0.73,3606.72,13066.00,0.72
14040,Montalbán de Córdoba,2020-01-01,27,109,0.75,1736.00,15051.04,0.88
14041,Montemayor,2020-01-01,21,114,0.82,3955.58,19168.87,0.79
14042,Montilla,2020-01-01,75,362,0.79,8791.64,55717.43,0.84
