id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
31090,Eratsun,2020-01-01,2,11,0.82,1058.71,84.81,0.92
31091,Ergoiena,2020-01-01,6,55,0.89,6285.15,905.28,0.86
31092,Erro,2020-01-01,12,112,0.89,14399.39,1863.90,0.87
31093,Ezcároz/Ezkaroze,2020-01-01,6,19,0.68,1878.96,371.22,0.80
31094,Eslava,2020-01-01,0,30,1.00,3889.62,0.00,1.00
31095,Esparza de Salazar,2020-01-01,2,16,0.88,2003.65,139.62,0.93
31096,Espronceda,2020-01-01,1,25,0.96,2078.43,29.58,0.99
31097,Estella/Lizarra,2020-01-01,23,220,0.90,31470.43,1530.81,0.95
31098,Esteribar,2020-01-01,10,204,0.95,22274.71,898.78,0.96
31099,Etayo,2020-01-01,0,15,1.00,1775.83,0.00,1.00
31100,Eulate,2020-01-01,0,32,1.00,4357.38,0.00,1.00
31101,Ezcabarte,2020-01-01,8,148,0.95,15531.90,724.58,0.95
31102,Ezkurra,2020-01-01,1,13,0.92,1777.07,44.92,0.97
31103,Ezprogui,2020-01-01,0,12,1.00,1418.35,0.00,1.00
31104,Falces,2020-01-01,11,124,0.91,12118.18,398.65,0.97
31105,Fitero,2020-01-01,3,79,0.96,11583.50,1704.50,0.85
31106,Fontellas,2020-01-01,5,40,0.88,7723.43,460.49,0.94
31107,Funes,2020-01-01,14,119,0.88,15185.37,3539.75,0.77
31108,Fustiñana,2020-01-01,6,63,0.90,15338.37,447.56,0.97
31109,Galar,2020-01-01,25,163,0.85,22065.20,4036.93,0.82
31110,Gallipienzo,2020-01-01,4,37,0.89,4257.57,320.48,0.92
31111,Gallués/Galoze,2020-01-01,6,19,0.68,1885.82,450.23,0.76
31112,Garaioa,2020-01-01,2,16,0.88,2414.25,225.98,0.91
31113,Garde,2020-01-01,0,23,1.00,1769.93,0.00,1.00
31114,Garínoain,2020-01-01,1,31,0.97,4105.48,193.94,0.95
31115,Garralda,2020-01-01,3,27,0.89,3422.06,82.33,0.98
31116,Genevilla,2020-01-01,2,15,0.87,1959.76,95.01,0.95
31117,Goizueta,2020-01-01,7,27,0.74,2925.60,461.31,0.84
31118,Goñi,2020-01-01,4,61,0.93,6710.80,326.60,0.95
31119,Güesa/Gorza,2020-01-01,0,10,1.00,904.17,0.00,1.00
31120,Guesálaz,2020-01-01,7,128,0.95,13069.43,440.77,0.97
31121,Guirguillano/Girgillao,2020-01-01,0,25,1.00,2002.23,0.00,1.00
31122,Huarte/Uharte,2020-01-01,46,197,0.77,17441.27,3093.96,0.82
31123,Uharte-Arakil,2020-01-01,0,53,1.00,5260.48,0.00,1.00
31124,Ibargoiti,2020-01-01,0,51,1.00,6415.56,0.00,1.00
31125,Igúzquiza,2020-01-01,9,49,0.82,5027.10,715.04,0.86
31126,Imotz,2020-01-01,2,56,0.96,6714.14,111.12,0.98
31127,Irañeta,2020-01-01,0,15,1.00,2638.73,0.00,1.00
31128,Isaba/Izaba,2020-01-01,4,29,0.86,3050.03,99.17,0.97
31129,Ituren,2020-01-01,7,31,0.77,3152.57,317.46,0.90
