id,ES-B,ES-CT,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
08153,ES-B,ES-CT,Òrrius,2020-01-01,13,37,0.65,1545.86,5920.47,0.74
08154,ES-B,ES-CT,Pacs del Penedès,2020-01-01,0,29,1.00,0.00,4708.66,1.00
08155,ES-B,ES-CT,Palafolls,2020-01-01,2,170,0.99,218.54,38120.40,0.99
08156,ES-B,ES-CT,Palau-solità i Plegamans,2020-01-01,11,402,0.97,852.19,91289.61,0.99
08157,ES-B,ES-CT,Pallejà,2020-01-01,35,255,0.86,1249.95,38596.15,0.97
08158,ES-B,ES-CT,el Papiol,2020-01-01,1,116,0.99,39.52,15607.27,1.00
08159,ES-B,ES-CT,Parets del Vallès,2020-01-01,77,262,0.71,6214.57,57965.10,0.89
08160,ES-B,ES-CT,Perafita,2020-01-01,13,38,0.66,1183.48,4365.25,0.73
08161,ES-B,ES-CT,Piera,2020-01-01,6,593,0.99,428.67,134549.59,1.00
08162,ES-B,ES-CT,els Hostalets de Pierola,2020-01-01,5,107,0.95,429.47,30695.61,0.99
08163,ES-B,ES-CT,Pineda de Mar,2020-01-01,16,472,0.97,858.77,80256.48,0.99
08164,ES-B,ES-CT,el Pla del Penedès,2020-01-01,0,47,1.00,0.00,4576.27,1.00
08165,ES-B,ES-CT,la Pobla de Claramunt,2020-01-01,0,135,1.00,0.00,20980.23,1.00
08166,ES-B,ES-CT,la Pobla de Lillet,2020-01-01,7,92,0.92,255.69,7135.86,0.96
08167,ES-B,ES-CT,Polinyà,2020-01-01,18,116,0.84,1957.34,27493.65,0.93
08168,ES-B,ES-CT,Pontons,2020-01-01,0,52,1.00,0.00,6911.03,1.00
08169,ES-B,ES-CT,el Prat de Llobregat,2020-01-01,8,479,0.98,308.62,72353.89,1.00
08170,ES-B,ES-CT,els Prats de Rei,2020-01-01,1,40,0.98,7.94,3443.90,1.00
08171,ES-B,ES-CT,Prats de Lluçanès,2020-01-01,34,76,0.55,2993.32,11180.53,0.73
08172,ES-B,ES-CT,Premià de Mar,2020-01-01,10,223,0.96,1190.37,32651.96,0.96
08174,ES-B,ES-CT,Puigdàlber,2020-01-01,2,26,0.92,213.76,4093.17,0.95
08175,ES-B,ES-CT,Puig-reig,2020-01-01,19,160,0.88,753.03,19120.92,0.96
08176,ES-B,ES-CT,Pujalt,2020-01-01,6,52,0.88,248.25,3251.49,0.92
08177,ES-B,ES-CT,la Quar,2020-01-01,0,1,1.00,0.00,21.65,1.00
08178,ES-B,ES-CT,Rajadell,2020-01-01,4,32,0.88,265.75,5196.25,0.95
08179,ES-B,ES-CT,Rellinars,2020-01-01,15,84,0.82,869.99,17340.67,0.95
08180,ES-B,ES-CT,Ripollet,2020-01-01,64,330,0.81,3359.87,45497.50,0.93
08181,ES-B,ES-CT,la Roca del Vallès,2020-01-01,58,275,0.79,7153.77,52549.45,0.86
08182,ES-B,ES-CT,el Pont de Vilomara i Rocafort,2020-01-01,57,140,0.59,4827.63,33224.13,0.85
08183,ES-B,ES-CT,Roda de Ter,2020-01-01,48,161,0.70,3727.40,20958.13,0.82
08184,ES-B,ES-CT,Rubí,2020-01-01,246,1768,0.86,8572.21,251008.50,0.97
08185,ES-B,ES-CT,Rubió,2020-01-01,3,5,0.40,162.43,510.27,0.68
08187,ES-B,ES-CT,Sabadell,2020-01-01,122,1873,0.93,7471.76,302043.28,0.98
08188,ES-B,ES-CT,Sagàs,2020-01-01,0,1,1.00,0.00,237.02,1.00
08189,ES-B,ES-CT,Sant Pere Sallavinera,2020-01-01,0,22,1.00,0.00,1096.96,1.00
08190,ES-B,ES-CT,Saldes,2020-01-01,0,35,1.00,0.00,3864.50,1.00
08191,ES-B,ES-CT,Sallent,2020-01-01,9,233,0.96,612.26,31342.47,0.98
08192,ES-B,ES-CT,Santpedor,2020-01-01,54,244,0.78,3126.19,35688.70,0.91
08193,ES-B,ES-CT,Sant Iscle de Vallalta,2020-01-01,8,49,0.84,1635.66,11439.87,0.86
08194,ES-B,ES-CT,Sant Adrià de Besòs,2020-01-01,2,276,0.99,77.03,31416.29,1.00
08195,ES-B,ES-CT,Sant Agustí de Lluçanès,2020-01-01,0,9,1.00,0.00,1723.34,1.00
08196,ES-B,ES-CT,Sant Andreu de la Barca,2020-01-01,18,350,0.95,909.87,49302.75,0.98
08197,ES-B,ES-CT,Sant Andreu de Llavaneres,2020-01-01,50,246,0.80,4922.18,52808.76,0.91
08198,ES-B,ES-CT,Sant Antoni de Vilamajor,2020-01-01,17,178,0.90,1140.79,35277.96,0.97
08199,ES-B,ES-CT,Sant Bartomeu del Grau,2020-01-01,9,21,0.57,1809.02,3714.08,0.51
08200,ES-B,ES-CT,Sant Boi de Llobregat,2020-01-01,27,963,0.97,1041.77,124863.45,0.99
08201,ES-B,ES-CT,Sant Boi de Lluçanès,2020-01-01,15,58,0.74,1313.13,6641.64,0.80
08202,ES-B,ES-CT,Sant Celoni,2020-01-01,66,411,0.84,5712.94,64519.28,0.91
08203,ES-B,ES-CT,Sant Cebrià de Vallalta,2020-01-01,7,103,0.93,655.01,31044.68,0.98
08204,ES-B,ES-CT,Sant Climent de Llobregat,2020-01-01,5,81,0.94,89.37,10005.98,0.99
08205,ES-B,ES-CT,Sant Cugat del Vallès,2020-01-01,84,1639,0.95,3342.15,285629.12,0.99
08206,ES-B,ES-CT,Sant Cugat Sesgarrigues,2020-01-01,0,51,1.00,0.00,8523.58,1.00
08207,ES-B,ES-CT,Sant Esteve de Palautordera,2020-01-01,6,86,0.93,438.62,16211.63,0.97
08208,ES-B,ES-CT,Sant Esteve Sesrovires,2020-01-01,6,256,0.98,534.67,57046.67,0.99
08209,ES-B,ES-CT,Sant Fost de Campsentelles,2020-01-01,9,249,0.96,1117.69,56587.66,0.98
08210,ES-B,ES-CT,Sant Feliu de Codines,2020-01-01,20,215,0.91,1343.68,26841.52,0.95
08211,ES-B,ES-CT,Sant Feliu de Llobregat,2020-01-01,9,281,0.97,1216.63,39464.13,0.97
08212,ES-B,ES-CT,Sant Feliu Sasserra,2020-01-01,13,32,0.59,706.55,4008.28,0.82
08213,ES-B,ES-CT,Sant Fruitós de Bages,2020-01-01,48,386,0.88,4373.98,64630.67,0.93
08214,ES-B,ES-CT,Vilassar de Dalt,2020-01-01,33,194,0.83,2410.53,33191.15,0.93
08215,ES-B,ES-CT,Sant Hipòlit de Voltregà,2020-01-01,4,77,0.95,50.85,11100.27,1.00
08216,ES-B,ES-CT,Sant Jaume de Frontanyà,2020-01-01,2,9,0.78,102.42,805.41,0.87
08217,ES-B,ES-CT,Sant Joan Despí,2020-01-01,12,299,0.96,1149.91,39546.72,0.97
08218,ES-B,ES-CT,Sant Joan de Vilatorrada,2020-01-01,7,212,0.97,422.95,22591.39,0.98
08219,ES-B,ES-CT,Vilassar de Mar,2020-01-01,27,206,0.87,1590.44,30150.76,0.95
08220,ES-B,ES-CT,Sant Julià de Vilatorta,2020-01-01,13,130,0.90,648.43,19950.47,0.97
08221,ES-B,ES-CT,Sant Just Desvern,2020-01-01,4,302,0.99,183.70,41374.72,1.00
08222,ES-B,ES-CT,Sant Llorenç d'Hortons,2020-01-01,0,124,1.00,0.00,18752.34,1.00
08223,ES-B,ES-CT,Sant Llorenç Savall,2020-01-01,17,119,0.86,1736.19,20201.59,0.91
08224,ES-B,ES-CT,Sant Martí de Centelles,2020-01-01,35,89,0.61,3314.86,12422.27,0.73
08225,ES-B,ES-CT,Sant Martí d'Albars,2020-01-01,0,5,1.00,0.00,767.33,1.00
08226,ES-B,ES-CT,Sant Martí de Tous,2020-01-01,0,60,1.00,0.00,7582.09,1.00
08227,ES-B,ES-CT,Sant Martí Sarroca,2020-01-01,0,90,1.00,0.00,12420.93,1.00
08228,ES-B,ES-CT,Sant Martí Sesgueioles,2020-01-01,0,26,1.00,0.00,2704.75,1.00
08229,ES-B,ES-CT,Sant Mateu de Bages,2020-01-01,0,18,1.00,0.00,2985.86,1.00
08230,ES-B,ES-CT,Premià de Dalt,2020-01-01,29,290,0.90,2752.99,46025.58,0.94
08231,ES-B,ES-CT,Sant Pere de Ribes,2020-01-01,27,627,0.96,2510.94,110759.22,0.98
08232,ES-B,ES-CT,Sant Pere de Riudebitlles,2020-01-01,0,58,1.00,0.00,8132.86,1.00
08233,ES-B,ES-CT,Sant Pere de Torelló,2020-01-01,7,107,0.93,418.89,14037.79,0.97
08234,ES-B,ES-CT,Sant Pere de Vilamajor,2020-01-01,22,207,0.89,1377.41,50197.42,0.97
08235,ES-B,ES-CT,Sant Pol de Mar,2020-01-01,20,170,0.88,1877.22,26592.66,0.93
08236,ES-B,ES-CT,Sant Quintí de Mediona,2020-01-01,0,66,1.00,0.00,11204.42,1.00
08237,ES-B,ES-CT,Sant Quirze de Besora,2020-01-01,1,63,0.98,104.53,9276.86,0.99
08238,ES-B,ES-CT,Sant Quirze del Vallès,2020-01-01,58,590,0.90,4074.66,93425.29,0.96
08239,ES-B,ES-CT,Sant Quirze Safaja,2020-01-01,14,46,0.70,2291.74,15394.45,0.85
