id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
05001,Adanero,2020-01-01,1,53,0.98,61.66,6643.38,0.99
05002,La Adrada,2020-01-01,130,190,0.32,27706.10,37951.63,0.27
05005,Albornos,2020-01-01,0,27,1.00,0.00,3350.28,1.00
05007,Aldeanueva de Santa Cruz,2020-01-01,6,25,0.76,780.90,2219.45,0.65
05008,Aldeaseca,2020-01-01,0,23,1.00,0.00,3254.17,1.00
05010,La Aldehuela,2020-01-01,4,4,0.00,777.02,777.02,0.00
05012,Amavida,2020-01-01,9,42,0.79,496.76,2991.02,0.83
05013,El Arenal,2020-01-01,40,46,0.13,5171.36,6155.35,0.16
05014,Arenas de San Pedro,2020-01-01,165,258,0.36,29928.17,41440.67,0.28
05015,Arevalillo,2020-01-01,28,28,0.00,2636.58,2636.58,0.00
05016,Arévalo,2020-01-01,6,279,0.98,422.43,39061.11,0.99
05017,Aveinte,2020-01-01,6,33,0.82,162.49,3419.70,0.95
05018,Avellaneda,2020-01-01,10,10,0.00,1020.61,1020.61,0.00
05019,Ávila,2020-01-01,106,1558,0.93,9152.41,228003.28,0.96
05021,El Barco de Ávila,2020-01-01,105,132,0.20,14352.45,18589.13,0.23
05022,El Barraco,2020-01-01,192,352,0.45,12461.13,34389.43,0.64
05023,Barromán,2020-01-01,0,29,1.00,0.00,3905.70,1.00
05024,Becedas,2020-01-01,38,57,0.33,4439.16,6176.78,0.28
05025,Becedillas,2020-01-01,15,37,0.59,1393.53,3749.62,0.63
05026,Bercial de Zapardiel,2020-01-01,0,28,1.00,0.00,3255.52,1.00
05027,Las Berlanas,2020-01-01,0,50,1.00,0.00,7224.28,1.00
05029,Bernuy-Zapardiel,2020-01-01,3,21,0.86,326.69,3130.86,0.90
05030,Berrocalejo de Aragona,2020-01-01,8,30,0.73,289.83,2594.06,0.89
05033,Blascomillán,2020-01-01,0,35,1.00,0.00,4347.35,1.00
05034,Blasconuño de Matacabras,2020-01-01,0,10,1.00,0.00,844.06,1.00
05035,Blascosancho,2020-01-01,5,52,0.90,374.83,5277.46,0.93
05036,El Bohodón,2020-01-01,6,32,0.81,652.74,4146.97,0.84
