id,ES-BU,ES-CL,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
09101,ES-BU,ES-CL,Ciadoncha,2020-01-01,38,39,0.03,2972.88,3239.41,0.08
09102,ES-BU,ES-CL,Cillaperlata,2020-01-01,0,37,1.00,0.00,1815.34,1.00
09103,ES-BU,ES-CL,Cilleruelo de Abajo,2020-01-01,30,30,0.00,3961.65,3961.65,0.00
09104,ES-BU,ES-CL,Cilleruelo de Arriba,2020-01-01,17,17,0.00,2147.78,2147.78,0.00
09105,ES-BU,ES-CL,Ciruelos de Cervera,2020-01-01,6,71,0.92,610.47,3922.58,0.84
09108,ES-BU,ES-CL,Cogollos,2020-01-01,23,88,0.74,990.76,6990.42,0.86
09109,ES-BU,ES-CL,Condado de Treviño,2020-01-01,17,369,0.95,660.70,44938.76,0.99
09110,ES-BU,ES-CL,Contreras,2020-01-01,4,26,0.85,222.08,2319.48,0.90
09112,ES-BU,ES-CL,Coruña del Conde,2020-01-01,3,57,0.95,203.19,3204.18,0.94
09113,ES-BU,ES-CL,Covarrubias,2020-01-01,6,68,0.91,327.84,5790.50,0.94
09114,ES-BU,ES-CL,Cubillo del Campo,2020-01-01,7,41,0.83,158.99,2185.76,0.93
09115,ES-BU,ES-CL,Cubo de Bureba,2020-01-01,13,53,0.75,1293.35,3666.90,0.65
09117,ES-BU,ES-CL,La Cueva de Roa,2020-01-01,4,13,0.69,118.28,1718.82,0.93
09119,ES-BU,ES-CL,Cuevas de San Clemente,2020-01-01,8,48,0.83,355.90,2822.65,0.87
09120,ES-BU,ES-CL,Encío,2020-01-01,4,19,0.79,405.67,1294.08,0.69
09122,ES-BU,ES-CL,Espinosa de Cervera,2020-01-01,2,58,0.97,98.01,2312.21,0.96
09123,ES-BU,ES-CL,Espinosa del Camino,2020-01-01,2,21,0.90,138.54,1615.37,0.91
09124,ES-BU,ES-CL,Espinosa de los Monteros,2020-01-01,16,200,0.92,2379.76,21156.35,0.89
09125,ES-BU,ES-CL,Estépar,2020-01-01,156,240,0.35,12361.92,18980.48,0.35
09127,ES-BU,ES-CL,Fontioso,2020-01-01,17,17,0.00,2090.83,2090.83,0.00
09128,ES-BU,ES-CL,Frandovínez,2020-01-01,18,62,0.71,314.07,3034.53,0.90
09129,ES-BU,ES-CL,Fresneda de la Sierra Tirón,2020-01-01,1,31,0.97,21.12,1572.72,0.99
09130,ES-BU,ES-CL,Fresneña,2020-01-01,43,50,0.14,5007.49,5989.15,0.16
09131,ES-BU,ES-CL,Fresnillo de las Dueñas,2020-01-01,30,43,0.30,2942.75,5104.66,0.42
09132,ES-BU,ES-CL,Fresno de Río Tirón,2020-01-01,4,29,0.86,125.76,2465.97,0.95
09133,ES-BU,ES-CL,Fresno de Rodilla,2020-01-01,0,18,1.00,0.00,1247.70,1.00
09134,ES-BU,ES-CL,Frías,2020-01-01,3,86,0.97,73.32,11374.95,0.99
09135,ES-BU,ES-CL,Fuentebureba,2020-01-01,3,41,0.93,70.02,2081.87,0.97
09136,ES-BU,ES-CL,Fuentecén,2020-01-01,15,39,0.62,1011.33,3611.17,0.72
09137,ES-BU,ES-CL,Fuentelcésped,2020-01-01,15,29,0.48,1602.29,3647.83,0.56
09138,ES-BU,ES-CL,Fuentelisendo,2020-01-01,36,36,0.00,3495.49,3495.49,0.00
09139,ES-BU,ES-CL,Fuentemolinos,2020-01-01,9,20,0.55,590.75,1744.23,0.66
09140,ES-BU,ES-CL,Fuentenebro,2020-01-01,10,39,0.74,331.69,3659.77,0.91
09141,ES-BU,ES-CL,Fuentespina,2020-01-01,16,82,0.80,1266.67,6998.44,0.82
09143,ES-BU,ES-CL,Galbarros,2020-01-01,2,14,0.86,132.01,1116.67,0.88
09144,ES-BU,ES-CL,La Gallega,2020-01-01,9,50,0.82,590.58,2739.81,0.78
09148,ES-BU,ES-CL,Grijalba,2020-01-01,27,27,0.00,2411.95,2411.95,0.00
09149,ES-BU,ES-CL,Grisaleña,2020-01-01,13,13,0.00,1413.14,1413.14,0.00
09151,ES-BU,ES-CL,Gumiel de Izán,2020-01-01,11,135,0.92,1778.08,10238.46,0.83
09152,ES-BU,ES-CL,Gumiel de Mercado,2020-01-01,35,36,0.03,4481.93,4591.24,0.02
09154,ES-BU,ES-CL,Hacinas,2020-01-01,32,57,0.44,1517.01,4103.26,0.63
09155,ES-BU,ES-CL,Haza,2020-01-01,14,15,0.07,1104.13,1284.59,0.14
09159,ES-BU,ES-CL,Hontanas,2020-01-01,8,20,0.60,730.73,2074.36,0.65
09160,ES-BU,ES-CL,Hontangas,2020-01-01,15,26,0.42,1335.54,2758.13,0.52
09162,ES-BU,ES-CL,Hontoria de la Cantera,2020-01-01,7,67,0.90,299.38,4322.23,0.93
09163,ES-BU,ES-CL,Hontoria del Pinar,2020-01-01,77,202,0.62,3684.32,11627.13,0.68
09164,ES-BU,ES-CL,Hontoria de Valdearados,2020-01-01,15,49,0.69,686.68,3094.70,0.78
09166,ES-BU,ES-CL,Las Hormazas,2020-01-01,21,29,0.28,2538.27,2964.22,0.14
09167,ES-BU,ES-CL,Hornillos del Camino,2020-01-01,7,15,0.53,468.98,1161.80,0.60
