id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
10070,Deleitosa,2020-01-01,63,64,0.02,9246.56,9353.24,0.01
10071,Descargamaría,2020-01-01,25,37,0.32,1091.23,2599.07,0.58
10072,Eljas,2020-01-01,8,29,0.72,421.66,3540.32,0.88
10073,Escurial,2020-01-01,90,90,0.00,11752.17,11752.17,0.00
10075,Fresnedoso de Ibor,2020-01-01,25,50,0.50,2283.68,4539.64,0.50
10076,Galisteo,2020-01-01,44,44,0.00,5064.32,5064.32,0.00
10077,Garciaz,2020-01-01,34,36,0.06,5835.97,6255.54,0.07
10078,La Garganta,2020-01-01,27,31,0.13,2812.49,3348.87,0.16
10079,Garganta la Olla,2020-01-01,32,66,0.52,2561.92,4811.55,0.47
10080,Gargantilla,2020-01-01,5,35,0.86,173.91,2658.63,0.93
10081,Gargüera de la Vera,2020-01-01,23,41,0.44,1397.48,3369.55,0.59
10082,Garrovillas de Alconétar,2020-01-01,118,171,0.31,13440.98,21056.29,0.36
10083,Garvín,2020-01-01,38,38,0.00,2899.40,2899.40,0.00
10084,Gata,2020-01-01,22,149,0.85,1087.13,19113.55,0.94
10085,El Gordo,2020-01-01,42,45,0.07,8287.11,8604.79,0.04
10086,La Granja,2020-01-01,40,40,0.00,4605.16,4605.16,0.00
10087,Guadalupe,2020-01-01,33,131,0.75,2768.30,13446.54,0.79
10088,Guijo de Coria,2020-01-01,48,48,0.00,5211.40,5211.40,0.00
10089,Guijo de Galisteo,2020-01-01,94,111,0.15,12662.76,16117.42,0.21
10090,Guijo de Granadilla,2020-01-01,43,95,0.55,4892.64,10357.54,0.53
10091,Guijo de Santa Bárbara,2020-01-01,14,22,0.36,1860.40,3645.25,0.49
10092,Herguijuela,2020-01-01,26,28,0.07,3816.12,4086.18,0.07
10093,Hernán-Pérez,2020-01-01,20,49,0.59,2435.38,6464.97,0.62
10094,Herrera de Alcántara,2020-01-01,24,35,0.31,2208.04,3612.59,0.39
10095,Herreruela,2020-01-01,31,35,0.11,5053.58,5282.45,0.04
10096,Hervás,2020-01-01,74,171,0.57,6480.79,17697.91,0.63
10097,Higuera,2020-01-01,9,36,0.75,601.07,2873.21,0.79
10098,Hinojal,2020-01-01,20,50,0.60,1523.10,8108.01,0.81
10099,Holguera,2020-01-01,36,36,0.00,6495.68,6495.68,0.00
10100,Hoyos,2020-01-01,22,69,0.68,860.79,7602.93,0.89
10101,Huélaga,2020-01-01,5,17,0.71,429.01,2180.24,0.80
10102,Ibahernando,2020-01-01,47,62,0.24,10350.15,12192.91,0.15
10103,Jaraicejo,2020-01-01,41,138,0.70,3129.20,10895.95,0.71
10104,Jaraíz de la Vera,2020-01-01,153,206,0.26,19634.72,24838.16,0.21
10105,Jarandilla de la Vera,2020-01-01,13,144,0.91,1749.42,16200.67,0.89
10106,Jarilla,2020-01-01,16,16,0.00,1548.77,1548.77,0.00
10107,Jerte,2020-01-01,33,60,0.45,3040.24,6969.06,0.56
10108,Ladrillar,2020-01-01,37,44,0.16,3028.67,3494.20,0.13
10109,Logrosán,2020-01-01,52,146,0.64,3830.29,15335.85,0.75
10110,Losar de la Vera,2020-01-01,48,170,0.72,5353.93,18330.25,0.71
10111,Madrigal de la Vera,2020-01-01,90,119,0.24,8998.75,15506.08,0.42
10112,Madrigalejo,2020-01-01,57,82,0.30,12163.29,15733.26,0.23
10113,Madroñera,2020-01-01,36,158,0.77,3490.21,23039.51,0.85
10114,Majadas,2020-01-01,16,16,0.00,2683.25,2683.25,0.00
10115,Malpartida de Cáceres,2020-01-01,57,213,0.73,5972.42,34129.23,0.83
10116,Malpartida de Plasencia,2020-01-01,30,263,0.89,3222.99,32911.03,0.90
10117,Marchagaz,2020-01-01,4,4,0.00,504.53,504.53,0.00
10118,Mata de Alcántara,2020-01-01,38,38,0.00,4687.37,4687.37,0.00
10119,Membrío,2020-01-01,19,65,0.71,1933.07,9032.12,0.79
10120,Mesas de Ibor,2020-01-01,26,56,0.54,1566.04,4379.48,0.64
10121,Miajadas,2020-01-01,182,268,0.32,38536.39,66593.79,0.42
10122,Millanes,2020-01-01,18,18,0.00,3280.42,3280.42,0.00
10123,Mirabel,2020-01-01,9,103,0.91,1047.74,9054.82,0.88
10124,Mohedas de Granadilla,2020-01-01,37,40,0.08,4305.73,4773.71,0.10
10125,Monroy,2020-01-01,8,100,0.92,426.88,9976.66,0.96
10126,Montánchez,2020-01-01,67,87,0.23,8835.32,12315.99,0.28
10127,Montehermoso,2020-01-01,197,212,0.07,28821.46,33924.33,0.15
10128,Moraleja,2020-01-01,92,372,0.75,8853.95,42192.42,0.79
10129,Morcillo,2020-01-01,43,43,0.00,4342.56,4342.56,0.00
10130,Navaconcejo,2020-01-01,50,50,0.00,6914.32,6914.32,0.00
10131,Navalmoral de la Mata,2020-01-01,115,489,0.76,10843.71,59990.15,0.82
10132,Navalvillar de Ibor,2020-01-01,5,39,0.87,544.02,4003.71,0.86
10133,Navas del Madroño,2020-01-01,48,64,0.25,6545.72,9775.58,0.33
10134,Navezuelas,2020-01-01,28,28,0.00,4586.39,4586.39,0.00
10135,Nuñomoral,2020-01-01,54,69,0.22,5643.62,7487.82,0.25
10136,Oliva de Plasencia,2020-01-01,8,14,0.43,1572.49,1995.81,0.21
10137,Palomero,2020-01-01,10,10,0.00,1258.03,1258.03,0.00
10138,Pasarón de la Vera,2020-01-01,58,72,0.19,5340.57,6567.86,0.19
10139,Pedroso de Acim,2020-01-01,17,18,0.06,1320.31,1612.90,0.18
10140,Peraleda de la Mata,2020-01-01,39,150,0.74,1912.54,12953.52,0.85
10141,Peraleda de San Román,2020-01-01,102,102,0.00,7422.43,7422.43,0.00
10142,Perales del Puerto,2020-01-01,22,47,0.53,2556.97,5878.47,0.57
10143,Pescueza,2020-01-01,23,24,0.04,2857.17,2983.35,0.04
10144,La Pesga,2020-01-01,26,28,0.07,4116.33,4390.57,0.06
10145,Piedras Albas,2020-01-01,9,16,0.44,1498.16,3271.81,0.54
10146,Pinofranqueado,2020-01-01,88,161,0.45,7041.06,15447.20,0.54
10147,Piornal,2020-01-01,56,162,0.65,4734.92,13002.76,0.64
10148,Plasencia,2020-01-01,272,1181,0.77,15033.55,131917.23,0.89
10149,Plasenzuela,2020-01-01,26,28,0.07,2385.09,2499.42,0.05
10150,Portaje,2020-01-01,43,43,0.00,5284.32,5284.32,0.00
10151,Portezuelo,2020-01-01,22,45,0.51,2377.08,4548.26,0.48
10152,Pozuelo de Zarzón,2020-01-01,46,50,0.08,5899.83,7057.07,0.16
10153,Puerto de Santa Cruz,2020-01-01,17,17,0.00,2298.82,2298.82,0.00
10154,Rebollar,2020-01-01,0,3,1.00,0.00,174.64,1.00
10155,Riolobos,2020-01-01,49,57,0.14,8557.49,10012.32,0.15
10156,Robledillo de Gata,2020-01-01,6,12,0.50,590.02,1075.84,0.45
10157,Robledillo de la Vera,2020-01-01,6,38,0.84,242.26,3072.45,0.92
10158,Robledillo de Trujillo,2020-01-01,45,45,0.00,5122.10,5122.10,0.00
10159,Robledollano,2020-01-01,20,31,0.35,1523.01,3021.33,0.50
10160,Romangordo,2020-01-01,9,45,0.80,687.70,3964.76,0.83
10161,Ruanes,2020-01-01,13,13,0.00,2550.90,2550.90,0.00
10162,Salorino,2020-01-01,12,66,0.82,1421.38,7911.89,0.82
10163,Salvatierra de Santiago,2020-01-01,13,13,0.00,2987.53,2987.53,0.00
10164,San Martín de Trevejo,2020-01-01,24,61,0.61,1947.97,6516.61,0.70
10165,Santa Ana,2020-01-01,28,28,0.00,3393.23,3393.23,0.00
10166,Santa Cruz de la Sierra,2020-01-01,29,29,0.00,4086.06,4086.06,0.00
10167,Santa Cruz de Paniagua,2020-01-01,14,47,0.70,1309.11,5119.91,0.74
10168,Santa Marta de Magasca,2020-01-01,41,44,0.07,4093.22,4671.55,0.12
10169,Santiago de Alcántara,2020-01-01,20,58,0.66,2707.03,7737.88,0.65
10170,Santiago del Campo,2020-01-01,20,60,0.67,1558.61,5382.55,0.71
10171,Santibáñez el Alto,2020-01-01,24,54,0.56,1304.87,4416.17,0.70
10172,Santibáñez el Bajo,2020-01-01,7,72,0.90,973.21,6620.29,0.85
10173,Saucedilla,2020-01-01,25,68,0.63,1568.89,8099.28,0.81
10174,Segura de Toro,2020-01-01,6,6,0.00,1050.03,1050.03,0.00
10175,Serradilla,2020-01-01,65,114,0.43,7506.33,15282.87,0.51
10176,Serrejón,2020-01-01,16,51,0.69,1448.45,5190.78,0.72
10177,Sierra de Fuentes,2020-01-01,31,149,0.79,1716.94,18087.60,0.91
10178,Talaván,2020-01-01,54,125,0.57,4814.04,11183.76,0.57
10179,Talaveruela de la Vera,2020-01-01,32,32,0.00,3842.26,3842.26,0.00
10180,Talayuela,2020-01-01,101,382,0.74,14868.61,51579.22,0.71
10181,Tejeda de Tiétar,2020-01-01,61,61,0.00,6746.14,6746.14,0.00
10182,Toril,2020-01-01,3,8,0.63,1079.76,1797.13,0.40
10183,Tornavacas,2020-01-01,59,65,0.09,6882.88,7296.03,0.06
10184,El Torno,2020-01-01,21,21,0.00,3322.03,3322.03,0.00
