id,ES-AV,ES-CL,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
05120,ES-AV,ES-CL,Marlín,2020-01-01,7,19,0.63,436.39,1998.16,0.78
05121,ES-AV,ES-CL,Martiherrero,2020-01-01,0,37,1.00,0.00,4620.00,1.00
05122,ES-AV,ES-CL,Martínez,2020-01-01,1,32,0.97,93.83,3478.46,0.97
05123,ES-AV,ES-CL,Mediana de Voltoya,2020-01-01,11,37,0.70,401.53,3392.45,0.88
05124,ES-AV,ES-CL,Medinilla,2020-01-01,10,10,0.00,2482.60,2482.60,0.00
05125,ES-AV,ES-CL,Mengamuñoz,2020-01-01,7,17,0.59,542.29,1956.82,0.72
05126,ES-AV,ES-CL,Mesegar de Corneja,2020-01-01,0,30,1.00,0.00,3217.33,1.00
05127,ES-AV,ES-CL,Mijares,2020-01-01,35,65,0.46,3371.54,6048.18,0.44
05128,ES-AV,ES-CL,Mingorría,2020-01-01,18,65,0.72,1167.80,6553.73,0.82
05129,ES-AV,ES-CL,El Mirón,2020-01-01,33,34,0.03,4751.69,4867.28,0.02
05130,ES-AV,ES-CL,Mironcillo,2020-01-01,0,38,1.00,0.00,3761.91,1.00
05131,ES-AV,ES-CL,Mirueña de los Infanzones,2020-01-01,21,21,0.00,3701.04,3701.04,0.00
05132,ES-AV,ES-CL,Mombeltrán,2020-01-01,24,94,0.74,6389.24,14775.15,0.57
05133,ES-AV,ES-CL,Monsalupe,2020-01-01,0,21,1.00,0.00,2433.25,1.00
05134,ES-AV,ES-CL,Moraleja de Matacabras,2020-01-01,0,10,1.00,0.00,1748.19,1.00
05135,ES-AV,ES-CL,Muñana,2020-01-01,0,99,1.00,0.00,12210.88,1.00
05136,ES-AV,ES-CL,Muñico,2020-01-01,7,41,0.83,314.59,4513.93,0.93
05138,ES-AV,ES-CL,Muñogalindo,2020-01-01,0,108,1.00,0.00,9908.68,1.00
05139,ES-AV,ES-CL,Muñogrande,2020-01-01,0,37,1.00,0.00,3576.41,1.00
05140,ES-AV,ES-CL,Muñomer del Peco,2020-01-01,1,14,0.93,129.02,1967.22,0.93
05141,ES-AV,ES-CL,Muñopepe,2020-01-01,4,15,0.73,467.23,1299.87,0.64
05142,ES-AV,ES-CL,Muñosancho,2020-01-01,0,30,1.00,0.00,3585.68,1.00
05143,ES-AV,ES-CL,Muñotello,2020-01-01,22,23,0.04,3117.29,3283.10,0.05
05144,ES-AV,ES-CL,Narrillos del Álamo,2020-01-01,23,23,0.00,2532.09,2532.09,0.00
05145,ES-AV,ES-CL,Narrillos del Rebollar,2020-01-01,0,27,1.00,0.00,2828.07,1.00
05147,ES-AV,ES-CL,Narros del Castillo,2020-01-01,0,27,1.00,0.00,3313.74,1.00
05148,ES-AV,ES-CL,Narros del Puerto,2020-01-01,0,40,1.00,0.00,4338.04,1.00
05149,ES-AV,ES-CL,Narros de Saldueña,2020-01-01,1,19,0.95,70.82,2463.62,0.97
05151,ES-AV,ES-CL,Navacepedilla de Corneja,2020-01-01,0,24,1.00,0.00,2754.51,1.00
