id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
12014,Ares del Maestrat,2020-12-01,20,42,0.52,631.15,4078.23,0.85
12015,Argelita,2020-12-01,1,30,0.97,46.92,2087.58,0.98
12016,Artana,2020-12-01,6,125,0.95,721.70,12381.27,0.94
12017,Ayódar,2020-12-01,9,43,0.79,531.81,3955.37,0.87
12018,Azuébar,2020-12-01,0,63,1.00,0.00,4257.87,1.00
12020,Barracas,2020-12-01,2,17,0.88,153.14,2397.86,0.94
12021,Betxí,2020-12-01,32,144,0.78,11474.61,33102.40,0.65
12022,Bejís,2020-12-01,4,44,0.91,343.75,4233.12,0.92
12024,Benafer,2020-12-01,8,32,0.75,2334.33,4009.09,0.42
12025,Benafigos,2020-12-01,5,35,0.86,145.98,1920.20,0.92
12026,Benassal,2020-12-01,11,101,0.89,2158.81,10730.89,0.80
12027,Benicarló,2020-12-01,27,429,0.94,1458.41,71413.30,0.98
12028,Benicàssim / Benicasim,2020-12-01,68,879,0.92,2889.85,113511.93,0.97
12029,Benlloc,2020-12-01,1,63,0.98,54.14,6204.25,0.99
12031,Borriol,2020-12-01,60,272,0.78,11293.66,46499.22,0.76
12032,Borriana / Burriana,2020-12-01,41,614,0.93,3477.05,90790.37,0.96
12033,Cabanes,2020-12-01,48,253,0.81,7308.70,42923.25,0.83
12034,Càlig,2020-12-01,8,70,0.89,845.26,9040.82,0.91
12036,Canet lo Roig,2020-12-01,13,51,0.75,1330.13,5823.78,0.77
12037,Castell de Cabres,2020-12-01,0,7,1.00,0.00,729.40,1.00
12038,Castellfort,2020-12-01,0,39,1.00,0.00,2873.97,1.00
12039,Castellnovo,2020-12-01,5,63,0.92,353.87,6919.64,0.95
12040,Castelló de la Plana,2020-12-01,433,2682,0.84,59382.63,355213.77,0.83
12041,Castillo de Villamalefa,2020-12-01,4,70,0.94,154.85,4598.05,0.97
12042,Catí,2020-12-01,0,50,1.00,0.00,5472.41,1.00
12043,Caudiel,2020-12-01,18,83,0.78,1456.16,7726.24,0.81
12044,Cervera del Maestre,2020-12-01,14,48,0.71,1243.12,4935.48,0.75
12045,Cinctorres,2020-12-01,12,49,0.76,1339.90,4807.96,0.72
12046,Cirat,2020-12-01,4,55,0.93,113.34,4033.48,0.97
12048,Cortes de Arenoso,2020-12-01,22,55,0.60,2963.04,5780.88,0.49
12049,Costur,2020-12-01,4,53,0.92,637.99,5854.06,0.89
12050,les Coves de Vinromà,2020-12-01,10,75,0.87,5156.29,13110.58,0.61
12051,Culla,2020-12-01,6,41,0.85,1279.40,3430.11,0.63
12052,Xert,2020-12-01,17,57,0.70,1212.20,6002.57,0.80
12053,Xilxes / Chilches,2020-12-01,4,167,0.98,469.09,27870.24,0.98
12055,Xodos / Chodos,2020-12-01,0,57,1.00,0.00,3069.27,1.00
12056,Chóvar,2020-12-01,2,67,0.97,93.76,4404.69,0.98
12057,Eslida,2020-12-01,0,86,1.00,0.00,6667.54,1.00
12058,Espadilla,2020-12-01,5,8,0.38,686.79,1137.39,0.40
12059,Fanzara,2020-12-01,7,39,0.82,627.83,3073.65,0.80
12060,Figueroles,2020-12-01,3,44,0.93,203.16,4718.22,0.96
12061,Forcall,2020-12-01,12,51,0.76,852.97,4067.24,0.79
12063,Fuente la Reina,2020-12-01,2,7,0.71,31.88,461.89,0.93
12064,Fuentes de Ayódar,2020-12-01,11,14,0.21,670.68,948.13,0.29
12065,Gaibiel,2020-12-01,8,49,0.84,931.23,4746.21,0.80
12067,Geldo,2020-12-01,0,46,1.00,0.00,3925.48,1.00
12068,Herbers,2020-12-01,0,14,1.00,0.00,1334.28,1.00
12069,Higueras,2020-12-01,1,18,0.94,805.19,2027.58,0.60
12070,la Jana,2020-12-01,2,31,0.94,434.27,4660.30,0.91
12071,Jérica,2020-12-01,30,103,0.71,3178.05,10850.19,0.71
12072,Llucena / Lucena del Cid,2020-12-01,21,95,0.78,2380.18,7984.95,0.70
12073,Ludiente,2020-12-01,1,59,0.98,27.12,3822.11,0.99
12074,la Llosa,2020-12-01,31,75,0.59,1469.62,6471.91,0.77
12075,la Mata,2020-12-01,0,26,1.00,0.00,2253.41,1.00
12076,Matet,2020-12-01,1,45,0.98,22.61,2382.18,0.99
12077,Moncofa,2020-12-01,14,324,0.96,2708.62,62720.21,0.96
12078,Montán,2020-12-01,9,59,0.85,2092.43,6793.31,0.69
12079,Montanejos,2020-12-01,8,51,0.84,366.13,3895.26,0.91
12080,Morella,2020-12-01,34,149,0.77,9537.78,20826.67,0.54
12081,Navajas,2020-12-01,5,89,0.94,138.70,8623.37,0.98
12082,Nules,2020-12-01,17,295,0.94,4140.87,43455.76,0.90
12083,Olocau del Rey,2020-12-01,5,16,0.69,991.63,2178.27,0.54
12084,Onda,2020-12-01,50,559,0.91,7457.40,80529.59,0.91
12085,Orpesa / Oropesa del Mar,2020-12-01,59,672,0.91,5127.87,107514.36,0.95
12087,Palanques,2020-12-01,0,12,1.00,0.00,1038.34,1.00
12088,Pavías,2020-12-01,16,25,0.36,851.74,1591.32,0.46
12089,Peníscola / Peñíscola,2020-12-01,224,485,0.54,27842.29,84871.45,0.67
12090,Pina de Montalgrao,2020-12-01,5,33,0.85,540.80,2478.89,0.78
12091,Portell de Morella,2020-12-01,5,21,0.76,627.16,2638.44,0.76
12092,Puebla de Arenoso,2020-12-01,7,36,0.81,762.50,2865.94,0.73
12093,la Pobla de Benifassà,2020-12-01,24,99,0.76,1609.36,7618.54,0.79
12094,la Pobla Tornesa,2020-12-01,1,66,0.98,95.18,9064.74,0.99
12095,Ribesalbes,2020-12-01,11,51,0.78,2147.39,5623.05,0.62
12096,Rossell,2020-12-01,1,56,0.98,176.40,8279.62,0.98
12097,Sacañet,2020-12-01,0,47,1.00,0.00,2306.34,1.00
12098,la Salzadella,2020-12-01,7,36,0.81,943.47,4416.67,0.79
12099,Sant Jordi / San Jorge,2020-12-01,0,90,1.00,0.00,21810.08,1.00
12100,Sant Mateu,2020-12-01,6,84,0.93,555.24,10714.42,0.95
12101,San Rafael del Río,2020-12-01,2,49,0.96,92.64,4666.61,0.98
12102,Santa Magdalena de Pulpis,2020-12-01,0,36,1.00,0.00,4709.71,1.00
12103,la Serratella,2020-12-01,0,21,1.00,0.00,1576.30,1.00
12104,Segorbe,2020-12-01,84,361,0.77,7749.16,37145.69,0.79
12105,Sierra Engarcerán,2020-12-01,9,94,0.90,657.03,9331.14,0.93
12106,Soneja,2020-12-01,49,91,0.46,5496.04,12954.44,0.58
12107,Sot de Ferrer,2020-12-01,7,52,0.87,897.93,6175.25,0.85
12108,Suera / Sueras,2020-12-01,1,47,0.98,310.23,5204.50,0.94
12109,Tales,2020-12-01,9,56,0.84,2117.75,5844.77,0.64
12110,Teresa,2020-12-01,20,29,0.31,1571.90,2251.50,0.30
12111,Tírig,2020-12-01,0,51,1.00,0.00,5276.11,1.00
12112,Todolella,2020-12-01,3,20,0.85,1008.36,3023.84,0.67
12113,Toga,2020-12-01,0,30,1.00,0.00,1761.31,1.00
12114,Torás,2020-12-01,12,36,0.67,4659.23,7781.01,0.40
12115,El Toro,2020-12-01,4,65,0.94,144.76,6309.43,0.98
12116,Torralba del Pinar,2020-12-01,4,14,0.71,274.14,1141.76,0.76
12117,Torreblanca,2020-12-01,29,258,0.89,5383.49,38740.89,0.86
12118,Torrechiva,2020-12-01,2,29,0.93,141.64,1771.71,0.92
12119,la Torre d'en Besora,2020-12-01,4,25,0.84,1267.76,2376.70,0.47
12120,la Torre d'en Doménec,2020-12-01,3,31,0.90,510.66,3629.14,0.86
12121,Traiguera,2020-12-01,11,75,0.85,1582.21,8021.99,0.80
12122,les Useres / Useras,2020-12-01,5,40,0.88,117.09,4220.10,0.97
12123,Vallat,2020-12-01,4,28,0.86,108.14,1287.85,0.92
12124,Vall d'Alba,2020-12-01,51,199,0.74,8661.43,24167.46,0.64
12125,Vall de Almonacid,2020-12-01,3,72,0.96,348.68,4243.26,0.92
12126,la Vall d'Uixó,2020-12-01,75,871,0.91,8502.18,99350.49,0.91
12127,Vallibona,2020-12-01,2,33,0.94,294.16,1910.03,0.85
12128,Vilafamés,2020-12-01,15,101,0.85,8489.98,16814.98,0.50
12129,Vilafranca / Villafranca del Cid,2020-12-01,2,246,0.99,521.75,22485.18,0.98
12130,Villahermosa del Río,2020-12-01,7,63,0.89,281.87,4519.66,0.94
12131,Villamalur,2020-12-01,0,28,1.00,0.00,1837.57,1.00
12132,Vilanova d'Alcolea,2020-12-01,0,44,1.00,0.00,4905.93,1.00
12133,Villanueva de Viver,2020-12-01,1,27,0.96,12.91,1850.11,0.99
12134,Vilar de Canes,2020-12-01,1,27,0.96,182.00,1987.27,0.91
12135,Vila-real,2020-12-01,55,682,0.92,8279.76,112523.09,0.93
12136,la Vilavella,2020-12-01,0,120,1.00,0.00,12221.17,1.00
12137,Villores,2020-12-01,2,16,0.88,177.00,2045.47,0.91
12138,Vinaròs,2020-12-01,311,881,0.65,37658.50,143698.00,0.74
12139,Vistabella del Maestrat,2020-12-01,14,111,0.87,1179.69,9122.66,0.87
12140,Viver,2020-12-01,20,107,0.81,1426.71,11945.28,0.88
12141,Zorita del Maestrazgo,2020-12-01,4,28,0.86,555.35,3558.44,0.84
12142,Zucaina,2020-12-01,1,92,0.99,20.14,4899.56,1.00
12901,les Alqueries / Alquerías del Niño Perdido,2020-12-01,11,190,0.94,1276.23,31728.11,0.96
12902,Sant Joan de Moró,2020-12-01,13,142,0.91,739.87,17442.34,0.96
46001,Ademuz,2020-12-01,24,72,0.67,2668.79,7662.97,0.65
46002,Ador,2020-12-01,1,48,0.98,4.99,7930.50,1.00
46003,Atzeneta d'Albaida,2020-12-01,10,68,0.85,940.36,5996.97,0.84
46004,Agullent,2020-12-01,26,90,0.71,7976.14,16176.24,0.51
46005,Alaquàs,2020-12-01,20,234,0.91,1382.94,40597.72,0.97
46006,Albaida,2020-12-01,39,222,0.82,2380.31,24052.63,0.90
46007,Albal,2020-12-01,38,245,0.84,3955.09,47278.31,0.92
46008,Albalat de la Ribera,2020-12-01,2,92,0.98,116.47,14084.22,0.99
46009,Albalat dels Sorells,2020-12-01,3,78,0.96,163.02,13346.48,0.99
46010,Albalat dels Tarongers,2020-12-01,19,126,0.85,2658.49,20900.04,0.87
46011,Alberic,2020-12-01,4,339,0.99,250.67,59242.12,1.00
46012,Alborache,2020-12-01,2,65,0.97,61.79,9400.92,0.99
46013,Alboraia / Alboraya,2020-12-01,31,306,0.90,2231.23,44080.18,0.95
46014,Albuixech,2020-12-01,8,78,0.90,514.52,13900.78,0.96
46015,Alcàsser,2020-12-01,9,184,0.95,313.20,28338.66,0.99
46016,Alcàntera de Xúquer,2020-12-01,4,47,0.91,220.32,5734.69,0.96
46017,Alzira,2020-12-01,82,746,0.89,5297.79,112795.08,0.95
46018,Alcublas,2020-12-01,0,83,1.00,0.00,6897.04,1.00
46019,l'Alcúdia,2020-12-01,0,359,1.00,0.00,52170.54,1.00
46020,l'Alcúdia de Crespins,2020-12-01,5,136,0.96,285.83,16902.20,0.98
46021,Aldaia,2020-12-01,27,406,0.93,1516.48,57495.71,0.97
46022,Alfafar,2020-12-01,9,177,0.95,493.67,27160.61,0.98
46023,Alfauir,2020-12-01,0,23,1.00,0.00,2315.31,1.00
46024,Alfara de la Baronia,2020-12-01,2,45,0.96,416.32,4542.85,0.91
46025,Alfara del Patriarca,2020-12-01,21,86,0.76,2468.69,11500.62,0.79
46026,Alfarp,2020-12-01,0,57,1.00,0.00,8226.72,1.00
46027,Alfarrasí,2020-12-01,0,42,1.00,0.00,5164.86,1.00
46028,Algar de Palancia,2020-12-01,0,76,1.00,0.00,8179.75,1.00
46029,Algemesí,2020-12-01,29,417,0.93,4378.85,65864.04,0.93
46030,Algímia d'Alfara,2020-12-01,0,60,1.00,0.00,7452.43,1.00
46031,Alginet,2020-12-01,7,263,0.97,620.07,48986.86,0.99
46032,Almàssera,2020-12-01,2,79,0.97,234.83,10621.50,0.98
46033,Almiserà,2020-12-01,0,20,1.00,0.00,1791.50,1.00
46034,Almoines,2020-12-01,4,58,0.93,201.16,6221.17,0.97
46035,Almussafes,2020-12-01,20,183,0.89,1642.55,25233.32,0.93
46036,Alpuente,2020-12-01,1,179,0.99,201.63,17523.20,0.99
46037,l'Alqueria de la Comtessa,2020-12-01,7,82,0.91,966.25,10147.85,0.90
46038,Andilla,2020-12-01,3,30,0.90,129.67,3233.67,0.96
46039,Anna,2020-12-01,5,95,0.95,868.58,10994.18,0.92
46040,Antella,2020-12-01,0,55,1.00,0.00,5551.22,1.00
46041,Aras de los Olmos,2020-12-01,8,88,0.91,851.38,8305.74,0.90
46042,Aielo de Malferit,2020-12-01,2,82,0.98,509.77,14533.41,0.96
46043,Aielo de Rugat,2020-12-01,3,10,0.70,136.82,1104.21,0.88
46044,Ayora,2020-12-01,7,150,0.95,584.32,15525.49,0.96
46045,Barxeta,2020-12-01,0,36,1.00,0.00,5847.92,1.00
46046,Barx,2020-12-01,6,95,0.94,281.01,14604.37,0.98
